Loc/Exp Rank	Ensembl	Gene Name	HPA Ab	Loc pvalue	Int pvalue.	Accuracy	Validation Marker	Loc rank
32	ENSG00000177679	SRRM3	HPA019337	2.79E-01	6.98E-01	0.641	0	165
33	ENSG00000182185	RAD51B	CAB016191	3.93E-01	8.51E-01	0.528	0	497
34	ENSG00000151466	SCLT1	HPA036561	3.44E-01	7.51E-01	0.577	0	358
35	ENSG00000175182	FAM131A	HPA042800	2.47E-01	6.38E-01	0.632	0	78
36	ENSG00000033030	ZCCHC8	HPA037484	3.66E-01	7.56E-01	0.577	0	424
37	ENSG00000229086	C21orf54	HPA041238	3.46E-01	7.22E-01	0.704	0	362
38	ENSG00000183060	LYSMD4	HPA029152	2.47E-01	6.31E-01	0.601	0	79
39	ENSG00000143147	GPR161	HPA015576	3.53E-01	7.30E-01	0.575	0	382
40	ENSG00000106078	COBL	HPA019033	3.79E-01	7.67E-01	0.605	0	457
41	ENSG00000163947	ARHGEF3	HPA034715	3.25E-01	6.94E-01	0.639	1	307
42	ENSG00000170917	NUDT6	HPA039202	3.37E-01	7.06E-01	0.553	0	340
43	ENSG00000100442	FKBP3	CAB012520	1.82E-01	5.91E-01	0.618	0	16
44	ENSG00000140451	PIF1	CAB018701	4.06E-01	8.09E-01	0.577	0	521
45	ENSG00000037474	NSUN2	HPA037896	2.30E-01	6.13E-01	0.736	0	54
46	ENSG00000109680	TBC1D19	HPA039592	4.46E-01	9.11E-01	0.386	0	575
47	ENSG00000048544	MRPS10	HPA029134	4.38E-01	8.57E-01	0.429	0	561
48	ENSG00000141040	ZNF287	HPA029290	2.99E-01	6.48E-01	0.656	0	221
49	ENSG00000180745	CLRN3	HPA014482	3.52E-01	7.00E-01	0.562	0	377
50	ENSG00000181019	NQO1	CAB012421	4.17E-01	7.98E-01	0.536	0	535
51	ENSG00000144362	PHOSPHO2	HPA034726	2.05E-01	5.84E-01	0.911	0	30
52	ENSG00000135749	PCNXL2	HPA014427	3.22E-01	6.64E-01	0.485	0	297
53	ENSG00000103245	NARFL	HPA040851	3.69E-01	7.12E-01	0.612	0	433
54	ENSG00000166226	CCT2	CAB009850	4.67E-01	9.48E-01	0.355	0	593
55	ENSG00000221990	C5orf55	HPA043680	3.58E-01	6.94E-01	0.54	0	402
56	ENSG00000143390	RFX5	HPA018519	3.78E-01	7.16E-01	0.51	0	453
57	ENSG00000162755	KLHDC9	HPA032058	3.29E-01	6.59E-01	0.78	0	318
58	ENSG00000124193	SRSF6	CAB034889	4.56E-01	8.68E-01	0.566	0	585
59	ENSG00000100139	MICALL1	HPA043480	4.02E-01	7.43E-01	0.582	0	516
60	ENSG00000148513	ANKRD30A	CAB017771	3.49E-01	6.74E-01	0.728	0	368
61	ENSG00000117676	RPS6KA1	CAB003852	2.73E-01	6.08E-01	0.491	0	141
62	ENSG00000124140	SLC12A5	HPA004942	2.86E-01	6.13E-01	0.791	0	185
63	ENSG00000107938	C10orf137	HPA031820	3.27E-01	6.46E-01	0.721	0	313
64	ENSG00000164543	STK17A	HPA037979	3.42E-01	6.58E-01	0.534	0	355
65	ENSG00000101057	MYBL2	CAB017114	2.77E-01	6.00E-01	0.539	0	159
66	ENSG00000170242	USP47	HPA029286	2.28E-01	5.69E-01	0.693	0	52
67	ENSG00000120688	WBP4	HPA038965	4.55E-01	8.23E-01	0.622	0	584
68	ENSG00000188732	C7orf46	HPA026748	4.22E-01	7.42E-01	0.491	0	539
69	ENSG00000108292	MLLT6	HPA004021	3.57E-01	6.58E-01	0.55	0	398
70	ENSG00000147889	CDKN2A	CAB000445	3.92E-01	6.97E-01	0.486	0	491
71	ENSG00000185436	IL28RA	HPA017319	1.77E-01	5.35E-01	0.76	0	11
72	ENSG00000131795	RBM8A	HPA018403	2.57E-01	5.73E-01	0.621	0	99
73	ENSG00000173838	10-Mar	HPA023316	4.57E-01	7.98E-01	0.528	0	586
74	ENSG00000173599	PC	CAB033742	3.53E-01	6.45E-01	0.623	0	380
75	ENSG00000188986	COBRA1	HPA020259	3.91E-01	6.86E-01	0.491	0	489
76	ENSG00000188021	UBQLN2	CAB013481	2.60E-01	5.70E-01	0.584	0	107
77	ENSG00000140623	12-Sep	HPA041128	3.79E-01	6.70E-01	0.541	0	459
78	ENSG00000138794	CASP6	CAB003775	3.82E-01	6.71E-01	0.481	0	463
79	ENSG00000171824	EXOSC10	HPA028484	3.08E-01	5.99E-01	0.604	0	250
80	ENSG00000139197	PEX5	HPA039259	3.23E-01	6.08E-01	0.63	0	300
81	ENSG00000151079	KCNA6	CAB011539	3.87E-01	6.70E-01	0.609	0	483
82	ENSG00000159200	RCAN1	CAB037218	4.08E-01	6.95E-01	0.578	0	525
83	ENSG00000137807	KIF23	CAB010414	4.79E-01	8.25E-01	0.515	0	602
84	ENSG00000177485	ZBTB33	HPA005732	4.34E-01	7.31E-01	0.529	0	556
85	ENSG00000177752	YIPF7	HPA030642	4.19E-01	7.07E-01	0.624	0	536
86	ENSG00000147548	WHSC1L1	HPA018893	3.16E-01	5.98E-01	0.632	0	279
87	ENSG00000100023	PPIL2	HPA035344	3.49E-01	6.25E-01	0.582	0	367
88	ENSG00000137948	BRDT	HPA015283	4.17E-01	7.02E-01	0.583	0	534
89	ENSG00000166986	MARS	CAB017097	3.45E-01	6.22E-01	0.587	0	361
90	ENSG00000071859	FAM50A	HPA003585	4.85E-01	8.33E-01	0.429	0	605
91	ENSG00000146701	MDH2	HPA019716	3.39E-01	6.14E-01	0.505	0	344
92	ENSG00000089006	SNX5	CAB020679	3.92E-01	6.68E-01	0.504	0	495
93	ENSG00000146701	MDH2	HPA019848	3.61E-01	6.34E-01	0.53	0	413
94	ENSG00000139914	FITM1	HPA019842	3.68E-01	6.35E-01	0.672	0	432
95	ENSG00000188846	RPL14	HPA004136	3.44E-01	6.12E-01	0.684	0	359
96	ENSG00000173214	KIAA1919	HPA031784	3.20E-01	5.90E-01	0.738	0	294
97	ENSG00000171475	WIPF2	HPA024001	2.14E-01	5.26E-01	0.792	0	37
98	ENSG00000134262	AP4B1	HPA028652	3.41E-01	6.05E-01	0.609	0	350
99	ENSG00000169020	ATP5I	HPA035010	4.28E-01	7.00E-01	0.547	0	549
100	ENSG00000188163	FAM166A	HPA023307	3.45E-01	6.05E-01	0.655	0	360
101	ENSG00000140259	MFAP1	HPA042370	2.94E-01	5.62E-01	0.542	0	204
102	ENSG00000177731	FLII	CAB016132	2.37E-01	5.27E-01	0.624	0	61
103	ENSG00000164754	RAD21	HPA020044	5.10E-01	8.61E-01	0.391	0	618
104	ENSG00000114450	GNB4	CAB018737	2.14E-01	5.14E-01	0.813	0	36
105	ENSG00000141744	PNMT	CAB017029	2.78E-01	5.46E-01	0.654	0	163
106	ENSG00000181072	CHRM2	CAB022338	3.28E-01	5.79E-01	0.54	0	315
107	ENSG00000115593	SMYD1	HPA040790	3.28E-01	5.78E-01	0.441	0	314
108	ENSG00000167978	SRRM2	HPA041411	3.65E-01	6.10E-01	0.363	0	422
109	ENSG00000138777	PPA2	HPA031671	3.67E-01	6.04E-01	0.612	0	427
110	ENSG00000099783	HNRNPM	HPA024344	3.03E-01	5.51E-01	0.629	0	239
111	ENSG00000028203	VEZT	HPA004811	4.20E-01	6.56E-01	0.539	0	537
112	ENSG00000204435	CSNK2B	HPA005944	2.80E-01	5.35E-01	0.495	0	169
113	ENSG00000173366	RP11-330H6.5	HPA004731	3.25E-01	5.62E-01	0.698	0	308
114	ENSG00000137513	NARS2	HPA026793	3.70E-01	5.99E-01	0.444	0	436
115	ENSG00000165688	PMPCA	HPA021648	4.06E-01	6.32E-01	0.449	0	522
116	ENSG00000164916	FOXK1	HPA017998	4.23E-01	6.49E-01	0.514	0	541
117	ENSG00000072849	DERL2	CAB037287	4.41E-01	6.70E-01	0.425	0	569
118	ENSG00000171302	CANT1	HPA019639	3.99E-01	6.20E-01	0.683	0	511
119	ENSG00000130733	YIPF2	HPA019902	4.07E-01	6.26E-01	0.427	0	524
120	ENSG00000072133	RPS6KA6	HPA002852	3.72E-01	5.88E-01	0.606	0	441
121	ENSG00000065548	ZC3H15	HPA031100	4.00E-01	6.13E-01	0.585	0	513
122	ENSG00000177807	KCNJ10	CAB022636	3.82E-01	5.95E-01	0.655	0	466
123	ENSG00000112081	SRSF3	CAB012986	3.59E-01	5.71E-01	0.568	0	403
124	ENSG00000171150	SOCS5	CAB025510	3.52E-01	5.66E-01	0.525	0	378
125	ENSG00000162004	CCDC78	HPA041384	4.01E-01	6.08E-01	0.524	0	515
126	ENSG00000176170	SPHK1	HPA022829	3.31E-01	5.46E-01	0.702	0	322
127	ENSG00000140575	IQGAP1	HPA014055	3.85E-01	5.91E-01	0.44	0	471
128	ENSG00000102786	INTS6	HPA001552	3.93E-01	5.98E-01	0.533	0	498
129	ENSG00000154957	ZNF18	HPA006144	2.31E-01	4.82E-01	0.718	0	56
130	ENSG00000164104	HMGB2	HPA003506	4.75E-01	6.88E-01	0.455	0	598
131	ENSG00000012174	MBTPS2	HPA005494	3.14E-01	5.24E-01	0.592	0	271
132	ENSG00000149823	C11orf2	HPA039650	1.99E-01	4.60E-01	0.636	0	23
133	ENSG00000164841	TMEM74	HPA015672	3.13E-01	5.17E-01	0.638	0	268
134	ENSG00000079785	DDX1	HPA034503	2.84E-01	4.99E-01	0.669	0	176
135	ENSG00000124145	SDC4	HPA005716	3.72E-01	5.59E-01	0.625	0	440
136	ENSG00000124571	XPO5	HPA023959	3.17E-01	5.17E-01	0.607	0	283
137	ENSG00000160049	DFFA	HPA025230	3.37E-01	5.29E-01	0.676	0	342
138	ENSG00000240972	MIF	CAB005284	3.17E-01	5.13E-01	0.733	0	284
139	ENSG00000149311	ATM	CAB000102	4.04E-01	5.82E-01	0.533	0	517
140	ENSG00000183684	THOC4	HPA019799	2.73E-01	4.85E-01	0.625	0	138
141	ENSG00000090054	SPTLC1	CAB018747	3.32E-01	5.20E-01	0.669	0	330
142	ENSG00000116455	WDR77	HPA027271	2.59E-01	4.76E-01	0.618	1	106
143	ENSG00000135679	MDM2	CAB000086	3.43E-01	5.27E-01	0.491	0	357
144	ENSG00000179071	CCDC89	HPA039351	3.32E-01	5.17E-01	0.47	0	328
145	ENSG00000084090	STARD7	CAB033965	3.84E-01	5.55E-01	0.425	0	470
146	ENSG00000172967	XKR3	HPA003379	4.32E-01	5.97E-01	0.453	0	554
147	ENSG00000107104	KANK1	HPA005539	2.88E-01	4.84E-01	0.684	0	189
148	ENSG00000142207	URB1	HPA018334	3.41E-01	5.15E-01	0.465	0	354
149	ENSG00000165458	INPPL1	HPA037601	3.09E-01	4.95E-01	0.679	0	258
150	ENSG00000175634	RPS6KB2	CAB019404	2.77E-01	4.75E-01	0.804	0	158
151	ENSG00000105428	ZNRF4	HPA012844	2.49E-01	4.58E-01	0.687	0	85
152	ENSG00000116833	NR5A2	HPA005455	2.64E-01	4.65E-01	0.579	0	119
153	ENSG00000168397	ATG4B	CAB037195	3.51E-01	5.17E-01	0.695	0	375
154	ENSG00000165650	PDZD8	HPA015716	3.79E-01	5.36E-01	0.484	0	455
155	ENSG00000170703	TTLL6	HPA023653	2.71E-01	4.59E-01	0.765	0	133
156	ENSG00000128606	LRRC17	HPA030139	3.00E-01	4.74E-01	0.756	0	227
157	ENSG00000106049	HIBADH	HPA019522	3.72E-01	5.19E-01	0.762	0	442
158	ENSG00000092871	RFFL	CAB008096	2.95E-01	4.68E-01	0.498	0	209
159	ENSG00000047617	ANO2	HPA036276	3.57E-01	5.04E-01	0.517	0	395
160	ENSG00000196470	SIAH1	CAB018724	4.91E-01	6.34E-01	0.491	0	608
161	ENSG00000160226	C21orf2	HPA030284	4.76E-01	6.13E-01	0.49	0	599
162	ENSG00000177156	TALDO1	HPA040373	3.57E-01	5.01E-01	0.614	0	396
163	ENSG00000070785	EIF2B3	HPA024218	2.97E-01	4.58E-01	0.693	0	213
164	ENSG00000122025	FLT3	CAB018358	4.77E-01	6.07E-01	0.562	0	600
165	ENSG00000092199	HNRNPC	CAB005223	3.60E-01	4.95E-01	0.531	0	409
166	ENSG00000198597	ZNF536	HPA024525	3.34E-01	4.74E-01	0.712	0	335
167	ENSG00000162613	FUBP1	HPA006149	3.32E-01	4.73E-01	0.604	0	329
168	ENSG00000129932	DOHH	HPA041953	2.42E-01	4.25E-01	0.546	0	73
169	ENSG00000139737	SLAIN1	HPA040798	2.67E-01	4.34E-01	0.669	0	123
170	ENSG00000196961	AP2A1	CAB004306	2.91E-01	4.44E-01	0.62	0	195
171	ENSG00000137497	NUMA1	HPA019859	2.75E-01	4.31E-01	0.486	0	152
172	ENSG00000164985	PSIP1	HPA019697	4.68E-01	5.75E-01	0.454	0	595
173	ENSG00000204683	C10orf113	HPA037013	2.72E-01	4.29E-01	0.528	0	136
174	ENSG00000130348	QRSL1	HPA029587	3.81E-01	4.82E-01	0.613	0	462
175	ENSG00000106006	HOXA6	HPA004203	2.70E-01	4.15E-01	0.684	0	128
176	ENSG00000169612	FAM103A1	HPA041923	3.59E-01	4.63E-01	0.518	0	404
177	ENSG00000121903	ZSCAN20	HPA017933	3.93E-01	4.86E-01	0.546	0	500
178	ENSG00000149972	CNTN5	HPA041223	1.77E-01	3.75E-01	0.799	0	12
179	ENSG00000168591	TMUB2	HPA043137	3.68E-01	4.63E-01	0.47	0	429
180	ENSG00000148835	TAF5	HPA006195	2.74E-01	4.09E-01	0.617	0	147
181	ENSG00000119421	NDUFA8	HPA041600	4.57E-01	5.34E-01	0.6	0	587
182	ENSG00000176148	TCP11L1	HPA005769	1.88E-01	3.74E-01	0.638	0	17
183	ENSG00000130348	QRSL1	HPA029585	6.03E-01	7.42E-01	0.403	0	622
184	ENSG00000156976	EIF4A2	CAB011690	3.86E-01	4.68E-01	0.51	0	480
185	ENSG00000169093	ASMTL	HPA021865	3.12E-01	4.19E-01	0.628	0	266
186	ENSG00000172867	KRT2	HPA006299	2.44E-01	3.87E-01	0.646	0	76
187	ENSG00000079387	SENP1	HPA011765	2.53E-01	3.90E-01	0.578	0	92
188	ENSG00000103507	BCKDK	HPA017995	3.18E-01	4.18E-01	0.635	0	288
189	ENSG00000198929	NOS1AP	CAB018582	2.77E-01	3.91E-01	0.7	0	160
190	ENSG00000136463	TACO1	HPA021643	3.52E-01	4.28E-01	0.662	0	376
191	ENSG00000167114	SLC27A4	CAB009771	3.71E-01	4.40E-01	0.478	0	437
192	ENSG00000143614	GATAD2B	HPA017015	2.67E-01	3.83E-01	0.74	0	122
193	ENSG00000196812	ZSCAN16	HPA007290	3.18E-01	4.08E-01	0.386	0	286
194	ENSG00000125492	BARHL1	HPA004809	4.70E-01	5.15E-01	0.349	0	596
195	ENSG00000146067	FAM193B	HPA035848	3.86E-01	4.45E-01	0.54	0	479
196	ENSG00000138398	PPIG	HPA021788	1.96E-01	3.52E-01	0.737	0	22
197	ENSG00000110321	EIF4G2	HPA006773	2.84E-01	3.80E-01	0.565	0	177
198	ENSG00000008405	CRY1	CAB018762	4.60E-01	4.97E-01	0.504	0	590
199	ENSG00000167566	NCKAP5L	HPA041034	2.41E-01	3.58E-01	0.532	0	72
200	ENSG00000119640	ACYP1	HPA034944	3.68E-01	4.16E-01	0.415	0	430
201	ENSG00000105976	MET	CAB018577	3.86E-01	4.22E-01	0.494	0	478
202	ENSG00000101197	BIRC7	CAB037119	2.60E-01	3.55E-01	0.715	0	108
203	ENSG00000135097	MSI1	CAB022337	3.09E-01	3.75E-01	0.609	0	257
204	ENSG00000135679	MDM2	CAB016303	5.08E-01	5.21E-01	0.422	0	617
205	ENSG00000118513	MYB	CAB017704	4.87E-01	4.99E-01	0.445	0	607
206	ENSG00000132589	FLOT2	CAB004395	4.30E-01	4.49E-01	0.452	0	553
207	ENSG00000050820	BCAR1	CAB000443	3.16E-01	3.76E-01	0.626	0	280
208	ENSG00000177842	ZNF620	HPA031452	2.81E-01	3.58E-01	0.553	0	171
209	ENSG00000124193	SRSF6	HPA029005	4.05E-01	4.27E-01	0.449	0	519
210	ENSG00000143554	SLC27A3	HPA006935	2.76E-01	3.53E-01	0.705	0	155
211	ENSG00000188738	FSIP2	HPA036139	2.43E-01	3.39E-01	0.582	0	74
212	ENSG00000119318	RAD23B	HPA029718	2.28E-01	3.34E-01	0.628	0	51
213	ENSG00000137766	UNC13C	HPA041516	3.08E-01	3.61E-01	0.605	0	247
214	ENSG00000114850	SSR3	HPA014906	3.23E-01	3.69E-01	0.652	0	299
215	ENSG00000170374	SP7	CAB005874	2.91E-01	3.50E-01	0.698	0	194
216	ENSG00000091164	TXNL1	CAB016446	3.07E-01	3.52E-01	0.531	0	245
217	ENSG00000142856	ITGB3BP	HPA028463	3.70E-01	3.85E-01	0.596	0	434
218	ENSG00000115808	STRN	HPA017286	3.57E-01	3.76E-01	0.591	0	399
219	ENSG00000143373	ZNF687	HPA021193	3.50E-01	3.71E-01	0.595	0	370
220	ENSG00000153291	SLC25A27	CAB009508	5.11E-01	4.92E-01	0.388	0	619
221	ENSG00000136574	GATA4	CAB013125	3.60E-01	3.76E-01	0.754	0	411
222	ENSG00000173120	KDM2A	CAB012272	4.80E-01	4.59E-01	0.327	0	603
223	ENSG00000067064	IDI1	HPA039169	2.84E-01	3.33E-01	0.66	0	175
224	ENSG00000132000	PODNL1	HPA042807	3.28E-01	3.53E-01	0.58	0	317
225	ENSG00000081923	ATP8B1	HPA018673	3.98E-01	3.92E-01	0.504	0	507
226	ENSG00000100726	TELO2	HPA041473	3.48E-01	3.61E-01	0.491	0	366
227	ENSG00000162650	ATXN7L2	HPA029827	3.02E-01	3.38E-01	0.627	0	234
228	ENSG00000160633	SAFB	HPA016832	3.77E-01	3.74E-01	0.516	0	452
229	ENSG00000112294	ALDH5A1	HPA029716	4.10E-01	3.94E-01	0.584	0	528
230	ENSG00000159131	GART	HPA005779	1.65E-01	2.84E-01	0.821	0	6
231	ENSG00000174429	ABRA	HPA017724	3.49E-01	3.54E-01	0.576	0	369
232	ENSG00000071553	ATP6AP1	CAB015218	3.75E-01	3.66E-01	0.659	0	446
233	ENSG00000181222	SLC35G6	CAB012226	4.86E-01	4.46E-01	0.446	0	606
234	ENSG00000169612	FAM103A1	HPA041948	3.16E-01	3.34E-01	0.535	0	276
235	ENSG00000163568	AIM2	HPA031365	2.86E-01	3.18E-01	0.818	0	184
236	ENSG00000213494	CCL14	CAB004423	3.95E-01	3.74E-01	0.664	0	503
237	ENSG00000123572	NRK	HPA017238	3.93E-01	3.73E-01	0.492	0	496
238	ENSG00000213626	LBH	HPA034669	2.68E-01	3.09E-01	0.422	0	125
239	ENSG00000240563	L1TD1	HPA030064	3.19E-01	3.31E-01	0.611	0	289
240	ENSG00000170325	PRDM10	HPA026997	5.08E-01	4.59E-01	0.528	0	615
241	ENSG00000184708	EIF4ENIF1	HPA002078	3.30E-01	3.34E-01	0.456	0	320
242	ENSG00000154265	ABCA5	HPA022032	2.80E-01	3.12E-01	0.793	0	168
243	ENSG00000059378	PARP12	HPA003584	4.52E-01	4.09E-01	0.443	0	580
244	ENSG00000010244	ZNF207	HPA017013	3.64E-01	3.51E-01	0.54	0	418
245	ENSG00000142556	ZNF614	HPA021197	4.23E-01	3.87E-01	0.685	0	540
246	ENSG00000103855	-	CAB017826	4.46E-01	4.00E-01	0.526	0	576
247	ENSG00000121690	DEPDC7	HPA015800	3.97E-01	3.65E-01	0.614	0	504
248	ENSG00000241878	PISD	HPA031090	3.98E-01	3.65E-01	0.561	0	509
249	ENSG00000176563	CNTD1	HPA023324	3.33E-01	3.23E-01	0.583	0	331
250	ENSG00000067221	STOML1	HPA042353	2.76E-01	2.98E-01	0.658	0	157
251	ENSG00000170037	CNTROB	HPA023325	3.70E-01	3.43E-01	0.481	0	435
252	ENSG00000108846	ABCC3	CAB037136	4.36E-01	3.84E-01	0.612	0	558
253	ENSG00000122033	MTIF3	HPA039791	3.36E-01	3.24E-01	0.489	0	338
254	ENSG00000082805	ERC1	HPA019523	2.62E-01	2.91E-01	0.831	0	115
255	ENSG00000145388	METTL14	HPA038002	4.30E-01	3.77E-01	0.559	0	552
256	ENSG00000170088	TMEM192	HPA014717	4.50E-01	3.91E-01	0.38	0	577
257	ENSG00000120948	TARDBP	CAB003703	4.41E-01	3.84E-01	0.455	0	570
258	ENSG00000152620	NADKD1	HPA038367	4.39E-01	3.79E-01	0.534	0	567
259	ENSG00000100906	NFKBIA	HPA029207	5.04E-01	4.30E-01	0.379	0	611
260	ENSG00000096063	SRPK1	HPA016431	2.97E-01	2.99E-01	0.604	0	217
261	ENSG00000140932	CMTM2	HPA014719	2.99E-01	2.99E-01	0.541	0	224
262	ENSG00000076043	REXO2	HPA038450	2.06E-01	2.65E-01	0.716	0	32
263	ENSG00000116288	PARK7	HPA004190	2.68E-01	2.84E-01	0.642	0	126
264	ENSG00000158669	AGPAT6	HPA016471	4.04E-01	3.50E-01	0.591	0	518
265	ENSG00000164144	ARFIP1	CAB005080	4.38E-01	3.73E-01	0.483	0	563
266	ENSG00000010704	HFE	HPA017276	2.96E-01	2.94E-01	0.644	0	212
267	ENSG00000184363	PKP3	CAB012993	4.23E-01	3.62E-01	0.523	0	543
268	ENSG00000144935	TRPC1	HPA021130	3.93E-01	3.40E-01	0.647	0	499
269	ENSG00000134444	KIAA1468	HPA040038	3.51E-01	3.16E-01	0.507	0	374
270	ENSG00000135093	USP30	HPA016952	3.57E-01	3.19E-01	0.483	0	397
271	ENSG00000221909	FAM200A	HPA017855	3.68E-01	3.25E-01	0.452	0	431
272	ENSG00000187837	HIST1H1C	CAB011507	4.13E-01	3.51E-01	0.739	0	531
273	ENSG00000150459	SAP18	CAB012273	3.59E-01	3.17E-01	0.677	0	405
274	ENSG00000055070	C1orf144	HPA024221	3.16E-01	2.95E-01	0.533	0	281
275	ENSG00000117139	KDM5B	HPA027179	3.92E-01	3.34E-01	0.571	0	494
276	ENSG00000163516	ANKZF1	HPA035208	2.75E-01	2.75E-01	0.73	0	150
277	ENSG00000198796	ALPK2	HPA029801	3.15E-01	2.90E-01	0.702	0	273
278	ENSG00000065427	KARS	HPA041550	3.51E-01	3.05E-01	0.656	0	373
279	ENSG00000115282	TTC31	HPA041783	3.60E-01	3.10E-01	0.585	0	406
280	ENSG00000100739	BDKRB1	HPA002935	3.47E-01	3.02E-01	0.404	0	364
281	ENSG00000131748	STARD3	CAB017021	3.75E-01	3.16E-01	0.535	0	448
282	ENSG00000138594	TMOD3	HPA001849	3.54E-01	3.05E-01	0.807	0	387
283	ENSG00000104064	GABPB1	HPA019653	4.84E-01	3.87E-01	0.365	0	604
284	ENSG00000157540	DYRK1A	HPA015810	4.60E-01	3.68E-01	0.506	0	591
285	ENSG00000047410	TPR	HPA019661	3.65E-01	3.06E-01	0.549	0	420
286	ENSG00000136999	NOV	HPA018449	4.15E-01	3.32E-01	0.651	0	533
287	ENSG00000140743	CDR2	HPA018151	1.96E-01	2.38E-01	0.662	0	21
288	ENSG00000148341	SH3GLB2	HPA021438	2.40E-01	2.49E-01	0.631	0	68
289	ENSG00000117859	OSBPL9	HPA027397	3.73E-01	3.05E-01	0.68	0	445
290	ENSG00000150636	CCDC102B	HPA040623	4.54E-01	3.54E-01	0.509	0	582
291	ENSG00000010219	DYRK4	HPA028065	4.00E-01	3.14E-01	0.553	0	512
292	ENSG00000164118	CEP44	HPA041515	4.11E-01	3.20E-01	0.604	0	529
293	ENSG00000138347	MYPN	HPA036298	2.83E-01	2.58E-01	0.695	0	174
294	ENSG00000165480	SKA3	HPA039356	3.57E-01	2.90E-01	0.596	0	394
295	ENSG00000128595	CALU	HPA006018	2.85E-01	2.58E-01	0.626	0	181
296	ENSG00000003249	DBNDD1	HPA043018	2.44E-01	2.43E-01	0.654	0	75
297	ENSG00000146243	IRAK1BP1	HPA035742	3.62E-01	2.91E-01	0.592	0	415
298	ENSG00000176920	FUT2	HPA014402	3.19E-01	2.70E-01	0.448	0	291
299	ENSG00000086475	SEPHS1	HPA037645	3.72E-01	2.93E-01	0.498	0	439
300	ENSG00000123080	CDKN2C	CAB018398	4.39E-01	3.31E-01	0.604	0	565
301	ENSG00000132591	ERAL1	HPA021425	4.29E-01	3.21E-01	0.708	0	551
302	ENSG00000107404	DVL1	CAB011538	5.05E-01	3.75E-01	0.519	0	613
303	ENSG00000077097	TOP2B	CAB004601	3.92E-01	2.98E-01	0.536	0	492
304	ENSG00000196867	ZFP28	HPA028879	4.42E-01	3.28E-01	0.671	0	572
305	ENSG00000186810	CXCR3	CAB017820	3.00E-01	2.53E-01	0.677	0	226
306	ENSG00000132323	ILKAP	HPA004752	3.37E-01	2.67E-01	0.574	0	339
307	ENSG00000165323	FAT3	HPA026878	2.53E-01	2.33E-01	0.611	0	93
308	ENSG00000130713	EXOSC2	HPA021790	3.58E-01	2.75E-01	0.614	0	400
