Loc/Exp Rank	Ensembl	Gene Name	HPA Ab	Loc pvalue	Int pvalue.	Accuracy	Validation Marker	Loc rank
117	ENSG00000160688	FLAD1	HPA028486	4.56E-01	8.97E-01	0.382	0	369
118	ENSG00000159423	ALDH4A1	CAB004645	3.76E-01	7.17E-01	0.509	0	278
119	ENSG00000185049	WHSC2	CAB009960	3.52E-01	6.87E-01	0.588	0	240
120	ENSG00000151422	FER	CAB022464	2.59E-01	6.07E-01	0.664	0	64
121	ENSG00000117475	BLZF1	HPA025703	3.23E-01	6.56E-01	0.837	0	184
122	ENSG00000119778	ATAD2B	HPA034555	3.38E-01	6.70E-01	0.665	0	217
123	ENSG00000178403	NEUROG2	CAB012342	4.62E-01	8.99E-01	0.541	0	373
124	ENSG00000204389	HSPA1A	CAB032815	3.97E-01	7.39E-01	0.683	0	314
125	ENSG00000215021	PHB2	CAB026335	3.96E-01	7.38E-01	0.508	0	312
126	ENSG00000174953	DHX36	HPA035399	3.19E-01	6.47E-01	0.634	0	169
127	ENSG00000036257	CUL3	CAB002678	3.31E-01	6.54E-01	0.518	0	202
128	ENSG00000170632	ARMC10	HPA011036	3.50E-01	6.72E-01	0.456	0	239
129	ENSG00000111725	PRKAB1	CAB005058	3.32E-01	6.53E-01	0.709	0	203
130	ENSG00000124693	HIST1H3B	CAB037187	2.91E-01	6.18E-01	0.536	0	114
131	ENSG00000154134	ROBO3	HPA011310	2.52E-01	5.89E-01	0.84	0	54
132	ENSG00000096401	CDC5L	HPA011361	2.92E-01	6.16E-01	0.699	0	117
133	ENSG00000161057	PSMC2	HPA019238	2.53E-01	5.88E-01	0.605	0	57
134	ENSG00000097007	ABL1	HPA028409	3.16E-01	6.32E-01	0.633	0	163
135	ENSG00000160691	SHC1	HPA001844	2.02E-01	5.58E-01	0.73	0	21
136	ENSG00000156313	RPGR	HPA001593	2.84E-01	6.03E-01	0.713	0	98
137	ENSG00000088888	MAVS	CAB009187	3.71E-01	6.79E-01	0.575	0	270
138	ENSG00000111341	MGP	HPA013949	3.95E-01	7.08E-01	0.603	0	308
139	ENSG00000163482	STK36	HPA027409	3.60E-01	6.62E-01	0.716	0	250
140	ENSG00000090905	TNRC6A	HPA015305	2.48E-01	5.72E-01	0.586	1	48
141	ENSG00000104388	RAB2A	CAB018781	3.19E-01	6.21E-01	0.555	0	170
142	ENSG00000144566	RAB5A	CAB004567	3.59E-01	6.58E-01	0.597	0	248
143	ENSG00000161939	C17orf49	HPA022961	4.08E-01	7.17E-01	0.532	0	329
144	ENSG00000061918	GUCY1B3	CAB010890	4.39E-01	7.67E-01	0.52	0	360
145	ENSG00000143761	ARF1	CAB007742	3.44E-01	6.37E-01	0.627	0	229
146	ENSG00000099783	HNRNPM	HPA024344	4.08E-01	7.10E-01	0.631	0	327
147	ENSG00000111845	PAK1IP1	HPA030112	2.04E-01	5.43E-01	0.749	0	23
148	ENSG00000105397	TYK2	HPA005157	4.68E-01	8.18E-01	0.617	0	376
149	ENSG00000135097	MSI1	CAB022337	3.74E-01	6.65E-01	0.66	0	276
150	ENSG00000143157	POGK	HPA031630	2.22E-01	5.49E-01	0.623	0	31
151	ENSG00000010244	ZNF207	HPA017013	3.29E-01	6.20E-01	0.594	0	199
152	ENSG00000136878	USP20	HPA006287	3.21E-01	6.12E-01	0.715	1	175
153	ENSG00000120833	SOCS2	CAB010356	3.23E-01	6.14E-01	0.665	0	185
154	ENSG00000244038	DDOST	CAB009746	4.00E-01	6.82E-01	0.561	0	319
155	ENSG00000147697	GSDMC	HPA023670	4.39E-01	7.33E-01	0.519	0	359
156	ENSG00000146833	TRIM4	HPA019356	2.36E-01	5.43E-01	0.691	0	39
157	ENSG00000118705	RPN2	CAB019277	5.11E-01	9.36E-01	0.574	0	396
158	ENSG00000106012	IQCE	HPA019515	3.01E-01	5.80E-01	0.863	0	134
159	ENSG00000090054	SPTLC1	CAB018747	4.19E-01	6.96E-01	0.641	0	342
160	ENSG00000077312	SNRPA	CAB004652	3.22E-01	5.94E-01	0.764	0	180
161	ENSG00000152229	PSTPIP2	HPA040923	1.90E-01	5.18E-01	0.857	0	15
162	ENSG00000135926	TMBIM1	HPA012093	4.97E-01	8.52E-01	0.554	0	391
163	ENSG00000184608	C8orf12	HPA024445	3.28E-01	5.98E-01	0.566	0	196
164	ENSG00000089902	RCOR1	CAB001956	4.61E-01	7.59E-01	0.466	0	372
165	ENSG00000176170	SPHK1	HPA022829	3.79E-01	6.43E-01	0.788	0	282
166	ENSG00000104231	ZFAND1	HPA023383	4.84E-01	8.07E-01	0.532	0	385
167	ENSG00000149548	CCDC15	HPA041738	4.78E-01	7.92E-01	0.566	0	384
168	ENSG00000083093	PALB2	CAB014895	2.47E-01	5.40E-01	0.787	0	46
169	ENSG00000156976	EIF4A2	CAB011690	5.20E-01	9.45E-01	0.51	0	401
170	ENSG00000188613	NANOS1	CAB012219	3.42E-01	6.01E-01	0.694	0	224
171	ENSG00000078237	C12orf5	CAB034010	3.19E-01	5.81E-01	0.772	0	171
172	ENSG00000125691	RPL23	HPA003373	5.19E-01	8.97E-01	0.532	0	400
173	ENSG00000151247	EIF4E	CAB004077	2.66E-01	5.41E-01	0.694	0	72
174	ENSG00000168522	FNTA	HPA018830	1.92E-01	5.05E-01	0.741	0	16
175	ENSG00000177425	PAWR	HPA012640	5.23E-01	9.04E-01	0.432	0	403
176	ENSG00000123143	PKN1	CAB010278	2.48E-01	5.27E-01	0.71	0	49
177	ENSG00000059122	FLYWCH1	HPA040753	3.67E-01	6.08E-01	0.435	0	265
178	ENSG00000125844	RRBP1	HPA009026	3.02E-01	5.55E-01	0.498	0	138
179	ENSG00000059378	PARP12	HPA003584	3.73E-01	6.07E-01	0.685	0	274
180	ENSG00000188958	UTS2D	HPA026992	4.70E-01	7.30E-01	0.449	0	379
181	ENSG00000154642	C21orf91	HPA018288	3.19E-01	5.61E-01	0.814	0	173
182	ENSG00000181163	NPM1	CAB012983	5.43E-01	9.67E-01	0.447	0	410
183	ENSG00000144354	CDCA7	HPA005565	2.60E-01	5.21E-01	0.652	0	65
184	ENSG00000162385	MAGOH	CAB015425	5.39E-01	9.18E-01	0.422	0	407
185	ENSG00000070785	EIF2B3	HPA024213	3.72E-01	6.01E-01	0.46	0	272
186	ENSG00000133943	C14orf159	HPA041423	2.82E-01	5.29E-01	0.774	0	90
187	ENSG00000099783	HNRNPM	CAB016113	4.53E-01	6.86E-01	0.68	0	367
188	ENSG00000221926	TRIM16	HPA023623	2.77E-01	5.22E-01	0.722	0	84
189	ENSG00000241878	PISD	HPA031090	4.86E-01	7.36E-01	0.484	0	387
190	ENSG00000137497	NUMA1	HPA019841	2.78E-01	5.21E-01	0.567	0	85
191	ENSG00000145675	PIK3R1	CAB004268	3.86E-01	6.01E-01	0.658	0	296
192	ENSG00000182220	ATP6AP2	HPA003156	4.38E-01	6.59E-01	0.514	0	358
193	ENSG00000166986	MARS	CAB017097	2.86E-01	5.22E-01	0.655	0	103
194	ENSG00000140350	ANP32A	CAB005231	2.95E-01	5.26E-01	0.693	0	122
195	ENSG00000197857	ZNF44	HPA003146	5.30E-01	8.06E-01	0.387	0	406
196	ENSG00000113319	RASGRF2	HPA018679	2.49E-01	4.93E-01	0.705	0	53
197	ENSG00000163482	STK36	HPA027453	4.33E-01	6.35E-01	0.499	0	355
198	ENSG00000056097	ZFR	HPA016666	4.57E-01	6.62E-01	0.454	0	370
199	ENSG00000158545	ZC3H18	HPA040847	4.77E-01	6.89E-01	0.546	0	383
200	ENSG00000176293	ZNF135	HPA006961	4.03E-01	5.92E-01	0.484	0	323
201	ENSG00000204316	MRPL38	HPA023054	3.03E-01	5.13E-01	0.809	0	140
202	ENSG00000113141	IK	HPA019754	4.91E-01	6.99E-01	0.515	0	388
203	ENSG00000131051	RBM39	HPA001591	4.07E-01	5.93E-01	0.522	0	326
204	ENSG00000183784	C9orf66	HPA035652	4.14E-01	5.99E-01	0.607	0	336
205	ENSG00000113643	RARS	HPA003979	4.70E-01	6.62E-01	0.517	0	378
206	ENSG00000160226	C21orf2	HPA030284	5.24E-01	7.55E-01	0.443	0	404
207	ENSG00000113575	PPP2CA	CAB003848	3.75E-01	5.53E-01	0.551	0	277
208	ENSG00000121621	-	HPA039312	3.04E-01	5.00E-01	0.759	0	141
209	ENSG00000137154	RPS6	CAB004027	3.86E-01	5.60E-01	0.57	0	295
210	ENSG00000181610	MRPS23	HPA023453	3.84E-01	5.57E-01	0.687	0	290
211	ENSG00000123975	CKS2	HPA030762	4.92E-01	6.80E-01	0.462	0	389
212	ENSG00000120802	TMPO	CAB009847	5.55E-01	7.94E-01	0.508	0	412
213	ENSG00000084090	STARD7	CAB033965	3.47E-01	5.20E-01	0.624	0	234
214	ENSG00000167635	ZNF146	HPA003358	2.75E-01	4.76E-01	0.752	0	83
215	ENSG00000164930	FZD6	HPA017991	2.62E-01	4.69E-01	0.483	0	69
216	ENSG00000182217	HIST2H4B	CAB011503	3.41E-01	5.15E-01	0.53	0	222
217	ENSG00000136731	UGGT1	HPA012761	3.80E-01	5.43E-01	0.485	0	283
218	ENSG00000006715	VPS41	HPA020299	4.74E-01	6.32E-01	0.521	0	381
219	ENSG00000132589	FLOT2	HPA001396	3.18E-01	4.88E-01	0.763	0	167
220	ENSG00000122778	KIAA1549	HPA019560	1.85E-01	4.26E-01	0.64	0	12
221	ENSG00000075651	PLD1	CAB004527	3.99E-01	5.42E-01	0.54	0	318
222	ENSG00000175938	ORAI3	HPA015022	3.85E-01	5.27E-01	0.674	0	291
223	ENSG00000033122	LRRC7	HPA005625	2.82E-01	4.59E-01	0.644	0	91
224	ENSG00000169612	FAM103A1	HPA041948	3.15E-01	4.74E-01	0.701	0	159
225	ENSG00000110063	DCPS	HPA039632	2.55E-01	4.39E-01	0.701	0	59
226	ENSG00000101558	VAPA	HPA009174	4.14E-01	5.42E-01	0.64	0	337
227	ENSG00000100023	PPIL2	HPA035344	2.85E-01	4.47E-01	0.617	0	100
228	ENSG00000204542	C6orf15	HPA001436	4.32E-01	5.48E-01	0.386	0	353
229	ENSG00000132024	CC2D1A	HPA005436	3.85E-01	5.04E-01	0.605	0	292
230	ENSG00000070886	EPHA8	CAB009660	3.43E-01	4.74E-01	0.645	1	225
231	ENSG00000213626	LBH	HPA034669	3.50E-01	4.76E-01	0.487	0	237
232	ENSG00000172115	CYCS	CAB018597	4.20E-01	5.25E-01	0.652	0	344
233	ENSG00000173821	RNF213	HPA003347	2.89E-01	4.33E-01	0.742	0	106
234	ENSG00000185219	ZNF445	HPA006678	2.66E-01	4.21E-01	0.69	0	73
235	ENSG00000140465	CYP1A1	CAB018654	3.83E-01	4.88E-01	0.655	0	287
236	ENSG00000124789	NUP153	HPA027897	2.62E-01	4.16E-01	0.657	0	67
237	ENSG00000122565	CBX3	HPA004902	4.56E-01	5.51E-01	0.471	0	368
238	ENSG00000206075	SERPINB5	HPA019025	4.39E-01	5.29E-01	0.653	0	361
239	ENSG00000147475	ERLIN2	CAB014894	3.83E-01	4.82E-01	0.481	0	288
240	ENSG00000006114	SYNRG	HPA023554	3.14E-01	4.33E-01	0.753	0	157
241	ENSG00000117859	OSBPL9	HPA027397	4.65E-01	5.46E-01	0.526	0	374
242	ENSG00000170689	HOXB9	HPA031463	3.10E-01	4.27E-01	0.628	0	151
243	ENSG00000133019	CHRM3	CAB010409	3.98E-01	4.83E-01	0.601	0	317
244	ENSG00000168924	LETM1	HPA011029	2.54E-01	3.97E-01	0.741	0	58
245	ENSG00000092820	EZR	HPA021616	3.17E-01	4.25E-01	0.833	0	166
246	ENSG00000140009	ESR2	CAB022544	4.73E-01	5.43E-01	0.633	0	380
247	ENSG00000104415	WISP1	HPA007121	3.90E-01	4.70E-01	0.68	0	301
248	ENSG00000176105	YES1	CAB004370	3.61E-01	4.45E-01	0.518	0	253
249	ENSG00000100311	PDGFB	HPA011972	2.91E-01	4.04E-01	0.521	1	110
250	ENSG00000182645	C10orf96	HPA037956	2.82E-01	3.98E-01	0.822	0	89
251	ENSG00000128944	C15orf23	HPA042027	2.85E-01	3.99E-01	0.389	0	101
252	ENSG00000160233	LRRC3	HPA017975	3.76E-01	4.50E-01	0.618	0	279
253	ENSG00000113368	LMNB1	CAB005269	2.46E-01	3.80E-01	0.809	0	42
254	ENSG00000124193	SRSF6	HPA029005	2.80E-01	3.93E-01	0.676	0	87
255	ENSG00000090905	TNRC6A	HPA017869	2.83E-01	3.90E-01	0.678	0	92
256	ENSG00000204007	GLT6D1	HPA023424	2.47E-01	3.71E-01	0.659	0	47
257	ENSG00000167925	GHDC	HPA031650	4.12E-01	4.58E-01	0.578	0	335
258	ENSG00000107104	KANK1	HPA005539	4.34E-01	4.75E-01	0.421	0	356
259	ENSG00000132646	PCNA	HPA030522	1.66E-01	3.38E-01	0.713	0	6
260	ENSG00000158545	ZC3H18	HPA041327	3.36E-01	4.05E-01	0.492	0	211
261	ENSG00000074696	PTPLAD1	HPA014837	4.28E-01	4.64E-01	0.689	0	349
262	ENSG00000054148	PHPT1	CAB013584	5.41E-01	5.75E-01	0.441	0	409
263	ENSG00000169515	CCDC8	HPA041993	3.24E-01	3.89E-01	0.51	0	187
264	ENSG00000170703	TTLL6	HPA023653	3.76E-01	4.19E-01	0.544	0	281
265	ENSG00000103199	ZNF500	HPA035498	2.88E-01	3.68E-01	0.619	0	104
266	ENSG00000136875	PRPF4	HPA021794	2.83E-01	3.66E-01	0.539	0	93
267	ENSG00000168310	IRF2	CAB032306	2.68E-01	3.60E-01	0.561	0	76
268	ENSG00000198586	TLK1	HPA016043	4.09E-01	4.37E-01	0.571	0	332
269	ENSG00000107537	PHYH	HPA007598	4.85E-01	5.00E-01	0.431	0	386
270	ENSG00000137259	HIST1H2AB	CAB011483	3.14E-01	3.78E-01	0.737	0	156
271	ENSG00000104221	BRF2	CAB019269	3.96E-01	4.27E-01	0.736	0	311
272	ENSG00000111885	MAN1A1	CAB037058	2.11E-01	3.36E-01	0.665	0	25
273	ENSG00000117751	PPP1R8	HPA027452	5.16E-01	5.31E-01	0.584	0	399
274	ENSG00000169418	NPR1	HPA031087	4.06E-01	4.33E-01	0.561	0	325
275	ENSG00000143321	HDGF	CAB026035	2.85E-01	3.60E-01	0.552	0	99
276	ENSG00000170037	CNTROB	HPA023325	2.95E-01	3.62E-01	0.78	0	121
277	ENSG00000166598	HSP90B1	CAB005224	3.05E-01	3.62E-01	0.622	0	145
278	ENSG00000165304	MELK	HPA017214	3.97E-01	4.04E-01	0.646	0	315
279	ENSG00000170027	YWHAG	CAB013274	3.30E-01	3.64E-01	0.718	0	201
280	ENSG00000198001	IRAK4	CAB016685	3.37E-01	3.67E-01	0.689	0	216
281	ENSG00000167004	PDIA3	CAB015181	3.21E-01	3.56E-01	0.671	0	176
282	ENSG00000138614	C15orf44	HPA040255	3.04E-01	3.47E-01	0.523	1	143
283	ENSG00000077097	TOP2B	HPA024120	6.20E-01	6.32E-01	0.48	0	413
284	ENSG00000147403	RPL10	CAB010339	4.08E-01	4.05E-01	0.592	0	328
285	ENSG00000011052	NME2	CAB002169	2.01E-01	3.06E-01	0.809	0	20
286	ENSG00000115307	AUP1	HPA007674	3.37E-01	3.58E-01	0.604	1	213
287	ENSG00000174996	KLC2	HPA040416	5.51E-01	5.26E-01	0.489	0	411
288	ENSG00000124181	PLCG1	CAB004277	3.01E-01	3.35E-01	0.763	0	133
289	ENSG00000121057	AKAP1	HPA008691	3.62E-01	3.66E-01	0.612	0	255
290	ENSG00000144381	HSPD1	HPA001523	3.98E-01	3.86E-01	0.544	0	316
291	ENSG00000126653	NSRP1	HPA015593	4.11E-01	3.94E-01	0.655	0	333
292	ENSG00000065978	YBX1	CAB005875	3.16E-01	3.38E-01	0.686	0	164
293	ENSG00000167658	EEF2	CAB007795	4.12E-01	3.92E-01	0.655	0	334
294	ENSG00000110108	TMEM109	HPA011785	2.83E-01	3.18E-01	0.659	0	96
295	ENSG00000147403	RPL10	HPA011311	4.50E-01	4.14E-01	0.463	0	365
296	ENSG00000171097	CCBL1	HPA021176	2.38E-01	3.00E-01	0.602	0	41
297	ENSG00000156603	MED19	HPA040860	3.30E-01	3.36E-01	0.635	0	200
298	ENSG00000112651	MRPL2	HPA007455	3.37E-01	3.39E-01	0.681	0	212
299	ENSG00000164031	DNAJB14	HPA036016	1.78E-01	2.78E-01	0.798	1	10
300	ENSG00000157349	DDX19B	CAB037284	3.25E-01	3.30E-01	0.439	0	190
301	ENSG00000130348	QRSL1	HPA029585	3.72E-01	3.55E-01	0.796	0	273
302	ENSG00000065427	KARS	HPA041550	3.87E-01	3.62E-01	0.401	0	298
303	ENSG00000100084	HIRA	CAB039243	4.29E-01	3.71E-01	0.345	0	350
304	ENSG00000145050	MANF	HPA011175	3.42E-01	3.17E-01	0.552	0	223
305	ENSG00000047597	XK	HPA019036	3.86E-01	3.39E-01	0.59	0	297
306	ENSG00000111846	GCNT2	HPA026776	4.44E-01	3.77E-01	0.6	0	363
307	ENSG00000148358	GPR107	HPA031704	4.95E-01	4.13E-01	0.448	0	390
308	ENSG00000137814	HAUS2	HPA039965	3.54E-01	3.18E-01	0.662	0	242
309	ENSG00000004975	DVL2	HPA022914	3.22E-01	3.00E-01	0.605	0	179
