Loc/Exp Rank	Ensembl	Gene Name	HPA Ab	Loc pvalue	Int pvalue.	Accuracy	Validation Marker	Loc rank
31	ENSG00000197747	S100A10	HPA003340	2.64E-01	8.43E-01	0.632	0	107
32	ENSG00000183423	LRIT3	HPA013454	2.93E-01	9.06E-01	0.7	0	166
33	ENSG00000104231	ZFAND1	HPA023383	2.85E-01	8.81E-01	0.606	0	145
34	ENSG00000168014	C2CD3	HPA038552	1.78E-01	7.48E-01	0.867	0	18
35	ENSG00000119906	FAM178A	HPA038499	3.13E-01	9.56E-01	0.567	0	211
36	ENSG00000135093	USP30	HPA016952	3.14E-01	9.47E-01	0.613	0	213
37	ENSG00000166598	HSP90B1	CAB005224	1.71E-01	7.28E-01	0.759	0	15
38	ENSG00000125844	RRBP1	HPA011924	3.14E-01	9.31E-01	0.574	0	214
39	ENSG00000137409	MTCH1	HPA015971	2.86E-01	8.52E-01	0.506	0	147
40	ENSG00000146904	EPHA1	CAB026144	3.12E-01	9.14E-01	0.574	0	207
41	ENSG00000137161	CNPY3	HPA016560	2.77E-01	8.32E-01	0.716	0	128
42	ENSG00000184634	MED12	HPA003184	3.29E-01	9.76E-01	0.664	0	252
43	ENSG00000015520	NPC1L1	HPA018105	3.30E-01	9.74E-01	0.648	0	257
44	ENSG00000103528	SYT17	HPA040811	3.29E-01	9.42E-01	0.533	0	254
45	ENSG00000107223	EDF1	HPA035642	3.31E-01	9.55E-01	0.606	0	262
46	ENSG00000136731	UGGT1	HPA012761	2.81E-01	8.17E-01	0.603	0	138
47	ENSG00000101782	RIOK3	HPA001620	3.29E-01	9.35E-01	0.561	0	256
48	ENSG00000096384	HSP90AB1	CAB005230	1.79E-01	7.04E-01	0.669	0	19
49	ENSG00000100347	SAMM50	HPA034537	2.60E-01	7.69E-01	0.607	0	103
50	ENSG00000108774	RAB5C	HPA003426	3.42E-01	9.35E-01	0.568	0	296
51	ENSG00000152240	HAUS1	HPA040601	3.47E-01	9.64E-01	0.552	0	302
52	ENSG00000144681	STAC	HPA035143	2.92E-01	8.07E-01	0.671	0	161
53	ENSG00000136522	MRPL47	HPA037553	3.33E-01	8.82E-01	0.641	0	271
54	ENSG00000128298	BAIAP2L2	HPA003043	3.06E-01	8.22E-01	0.687	0	196
55	ENSG00000203813	HIST1H3H	CAB037166	9.58E-02	6.59E-01	0.933	0	1
56	ENSG00000124523	SIRT5	HPA022002	2.75E-01	7.75E-01	0.675	0	126
57	ENSG00000124749	COL21A1	HPA031213	3.36E-01	8.85E-01	0.558	0	283
58	ENSG00000137766	UNC13C	HPA041516	2.11E-01	7.13E-01	0.724	0	37
59	ENSG00000140009	ESR2	CAB022544	3.53E-01	9.55E-01	0.501	0	318
60	ENSG00000170854	MINA	CAB013458	2.12E-01	7.12E-01	0.478	0	40
61	ENSG00000125462	C1orf61	HPA027989	3.36E-01	8.70E-01	0.596	0	280
62	ENSG00000068383	INPP5A	HPA012285	3.12E-01	8.19E-01	0.601	0	208
63	ENSG00000111057	KRT18	CAB000008	3.36E-01	8.68E-01	0.54	0	281
64	ENSG00000024048	UBR2	HPA027880	3.15E-01	8.19E-01	0.594	0	220
65	ENSG00000175348	TMEM9B	HPA037784	3.65E-01	9.31E-01	0.654	0	339
66	ENSG00000162385	MAGOH	CAB015425	3.70E-01	9.65E-01	0.582	0	352
67	ENSG00000128311	TST	HPA003044	3.16E-01	8.02E-01	0.498	0	224
68	ENSG00000196963	PCDHB16	HPA016475	3.72E-01	9.80E-01	0.676	0	358
69	ENSG00000168036	CTNNB1	HPA029160	3.63E-01	9.14E-01	0.55	0	336
70	ENSG00000124795	DEK	CAB015226	3.73E-01	9.76E-01	0.418	0	359
71	ENSG00000168159	RNF187	HPA030098	3.39E-01	8.43E-01	0.663	0	288
72	ENSG00000164163	ABCE1	CAB012476	3.53E-01	8.77E-01	0.691	0	319
73	ENSG00000100348	TXN2	CAB008681	3.33E-01	8.27E-01	0.522	0	270
74	ENSG00000116044	NFE2L2	HPA002990	3.05E-01	7.79E-01	0.562	0	191
75	ENSG00000171155	C1GALT1C1	HPA015632	2.79E-01	7.46E-01	0.594	0	133
76	ENSG00000064012	CASP8	HPA005688	1.92E-01	6.71E-01	0.671	0	27
77	ENSG00000018699	TTC27	HPA031246	2.29E-01	6.94E-01	0.544	0	58
78	ENSG00000104805	NUCB1	HPA008176	3.82E-01	9.76E-01	0.64	0	379
79	ENSG00000159086	GCFC1	HPA003757	3.60E-01	8.66E-01	0.621	0	329
80	ENSG00000144744	UBA3	HPA034873	2.99E-01	7.59E-01	0.714	0	181
81	ENSG00000104388	RAB2A	CAB018781	3.50E-01	8.38E-01	0.52	0	312
82	ENSG00000105854	PON2	CAB025430	3.87E-01	9.76E-01	0.422	0	392
83	ENSG00000144369	FAM171B	HPA013434	3.79E-01	9.18E-01	0.586	0	374
84	ENSG00000144381	HSPD1	HPA001523	2.41E-01	6.94E-01	0.629	0	70
85	ENSG00000049239	H6PD	HPA005440	3.72E-01	8.82E-01	0.555	0	354
86	ENSG00000134884	ARGLU1	HPA034962	3.89E-01	9.47E-01	0.679	0	398
87	ENSG00000120889	TNFRSF10B	HPA023625	2.99E-01	7.44E-01	0.49	0	183
88	ENSG00000105246	EBI3	CAB032863	3.94E-01	9.83E-01	0.507	0	415
89	ENSG00000172594	SMPDL3A	HPA030148	2.97E-01	7.38E-01	0.667	0	175
90	ENSG00000196867	ZFP28	HPA028879	2.52E-01	6.94E-01	0.556	0	87
91	ENSG00000136463	TACO1	HPA021643	3.76E-01	8.68E-01	0.529	0	368
92	ENSG00000162194	C11orf48	HPA012127	3.99E-01	9.79E-01	0.609	0	427
93	ENSG00000085433	WDR47	HPA027289	2.62E-01	6.97E-01	0.568	0	105
94	ENSG00000186376	ZNF75D	HPA004705	3.61E-01	8.24E-01	0.556	0	332
95	ENSG00000137563	GGH	CAB019296	3.85E-01	8.77E-01	0.513	0	389
96	ENSG00000005379	BZRAP1	HPA024662	3.93E-01	8.93E-01	0.61	0	411
97	ENSG00000142102	ATHL1	HPA039383	3.96E-01	8.98E-01	0.533	0	419
98	ENSG00000161533	ACOX1	HPA021192	3.84E-01	8.59E-01	0.503	0	383
99	ENSG00000124151	NCOA3	CAB009800	3.74E-01	8.36E-01	0.584	0	366
100	ENSG00000122971	ACADS	CAB019284	3.94E-01	8.89E-01	0.612	0	417
101	ENSG00000159387	IRX6	HPA018332	4.00E-01	9.06E-01	0.604	0	429
102	ENSG00000115902	SLC1A4	CAB002757	1.30E-01	6.09E-01	0.758	0	3
103	ENSG00000159363	ATP13A2	CAB037111	3.76E-01	8.31E-01	0.545	0	369
104	ENSG00000011405	PIK3C2A	HPA037642	3.42E-01	7.67E-01	0.683	0	295
105	ENSG00000089248	ERP29	HPA039363	2.68E-01	6.84E-01	0.673	0	115
106	ENSG00000119121	TRPM6	HPA007037	3.70E-01	8.12E-01	0.501	0	351
107	ENSG00000111845	PAK1IP1	HPA030112	3.67E-01	8.06E-01	0.727	0	346
108	ENSG00000114850	SSR3	HPA014906	3.60E-01	7.90E-01	0.572	0	330
109	ENSG00000175216	CKAP5	HPA039377	2.90E-01	6.97E-01	0.605	0	154
110	ENSG00000106633	GCK	HPA007034	3.62E-01	7.86E-01	0.564	0	334
111	ENSG00000134548	C12orf39	HPA012890	4.17E-01	9.43E-01	0.476	0	458
112	ENSG00000177409	SAMD9L	HPA019488	3.66E-01	7.91E-01	0.572	0	341
113	ENSG00000166479	TMX3	HPA014157	4.04E-01	8.77E-01	0.556	0	434
114	ENSG00000105048	TNNT1	CAB015168	3.57E-01	7.75E-01	0.622	0	322
115	ENSG00000179761	PIPOX	HPA015567	3.67E-01	7.86E-01	0.586	0	345
116	ENSG00000139278	GLIPR1	HPA011014	4.23E-01	9.49E-01	0.549	0	466
117	ENSG00000152234	ATP5A1	CAB013067	2.06E-01	6.27E-01	0.768	0	36
118	ENSG00000178078	STAP2	HPA002375	4.04E-01	8.52E-01	0.516	0	436
119	ENSG00000198015	MRPL42	HPA039398	1.62E-01	6.01E-01	0.789	0	11
120	ENSG00000132589	FLOT2	CAB004395	3.85E-01	8.06E-01	0.538	0	390
121	ENSG00000166136	NDUFB8	HPA003886	2.81E-01	6.72E-01	0.501	0	136
122	ENSG00000137806	NDUFAF1	HPA039933	1.99E-01	6.15E-01	0.663	0	33
123	ENSG00000143971	ETAA1	HPA035048	3.86E-01	8.03E-01	0.527	0	391
124	ENSG00000010539	ZNF200	HPA018981	3.42E-01	7.30E-01	0.67	0	292
125	ENSG00000196290	NIF3L1	HPA036335	4.38E-01	9.26E-01	0.457	0	482
126	ENSG00000127884	ECHS1	CAB003783	4.14E-01	8.37E-01	0.564	0	450
127	ENSG00000169020	ATP5I	HPA035010	4.42E-01	9.43E-01	0.477	0	489
128	ENSG00000165699	TSC1	CAB012481	3.31E-01	6.99E-01	0.508	0	260
129	ENSG00000139549	DHH	CAB034386	4.47E-01	9.75E-01	0.423	0	496
130	ENSG00000163568	AIM2	HPA031365	4.30E-01	8.70E-01	0.393	0	474
131	ENSG00000143933	CALM2	CAB007790	3.81E-01	7.61E-01	0.692	0	378
132	ENSG00000106049	HIBADH	HPA021002	3.42E-01	7.06E-01	0.552	0	293
133	ENSG00000078140	UBE2K	CAB033515	3.66E-01	7.35E-01	0.472	0	343
134	ENSG00000112309	B3GAT2	HPA012059	3.88E-01	7.66E-01	0.409	0	397
135	ENSG00000171497	PPID	HPA019692	1.36E-01	5.66E-01	0.694	0	5
136	ENSG00000116791	CRYZ	HPA023290	3.37E-01	6.92E-01	0.484	0	285
137	ENSG00000011052	NME2	CAB002169	2.96E-01	6.52E-01	0.599	0	172
138	ENSG00000008513	ST3GAL1	HPA040466	4.17E-01	8.11E-01	0.656	0	457
139	ENSG00000161057	PSMC2	HPA019238	3.49E-01	7.02E-01	0.575	0	305
140	ENSG00000100714	MTHFD1	HPA015006	3.74E-01	7.30E-01	0.579	0	362
141	ENSG00000132854	KANK4	HPA014030	2.26E-01	5.98E-01	0.591	0	55
142	ENSG00000140374	ETFA	HPA024089	4.07E-01	7.83E-01	0.494	0	441
143	ENSG00000133315	MACROD1	HPA041031	3.33E-01	6.81E-01	0.589	0	268
144	ENSG00000185219	ZNF445	HPA006678	1.99E-01	5.82E-01	0.724	0	32
145	ENSG00000158604	TMED4	HPA014650	2.12E-01	5.88E-01	0.578	0	39
146	ENSG00000137841	PLCB2	CAB009443	3.94E-01	7.53E-01	0.538	0	416
147	ENSG00000138669	PRKG2	HPA007386	3.26E-01	6.66E-01	0.643	0	246
148	ENSG00000120509	PDZD11	HPA003972	1.70E-01	5.62E-01	0.81	0	14
149	ENSG00000135766	EGLN1	HPA022129	3.87E-01	7.29E-01	0.567	0	393
150	ENSG00000110011	DNAJC4	HPA011947	3.94E-01	7.38E-01	0.562	0	414
151	ENSG00000135097	MSI1	CAB022337	4.37E-01	8.19E-01	0.444	0	481
152	ENSG00000140265	ZSCAN29	HPA011109	3.53E-01	6.84E-01	0.549	0	317
153	ENSG00000155660	PDIA4	HPA006139	3.59E-01	6.91E-01	0.622	0	327
154	ENSG00000157870	C1orf93	HPA006403	4.47E-01	8.40E-01	0.537	0	495
155	ENSG00000109625	CPZ	HPA029083	4.66E-01	9.08E-01	0.606	0	523
156	ENSG00000133115	STOML3	CAB014880	4.73E-01	9.43E-01	0.551	0	532
157	ENSG00000185825	BCAP31	HPA003906	4.55E-01	8.56E-01	0.562	0	506
158	ENSG00000136574	GATA4	CAB013125	3.93E-01	7.28E-01	0.57	0	409
159	ENSG00000100823	APEX1	HPA002564	4.66E-01	8.94E-01	0.531	0	524
160	ENSG00000012174	MBTPS2	HPA005494	3.49E-01	6.72E-01	0.662	0	309
161	ENSG00000188738	FSIP2	HPA036139	2.90E-01	6.15E-01	0.584	0	153
162	ENSG00000133216	EPHB2	CAB013647	4.24E-01	7.69E-01	0.581	0	468
163	ENSG00000133874	RNF122	HPA003888	3.18E-01	6.36E-01	0.617	0	231
164	ENSG00000166821	PEX11A	HPA039115	4.31E-01	7.82E-01	0.46	0	475
165	ENSG00000138069	RAB1A	CAB005331	4.72E-01	8.98E-01	0.39	0	531
166	ENSG00000101057	MYBL2	CAB017114	2.51E-01	5.84E-01	0.645	0	85
167	ENSG00000006453	AC093799.1	HPA021257	4.73E-01	8.89E-01	0.563	0	533
168	ENSG00000151835	SACS	CAB017714	4.24E-01	7.57E-01	0.548	0	469
169	ENSG00000128606	LRRC17	HPA030139	4.78E-01	8.97E-01	0.517	0	538
170	ENSG00000009694	ODZ1	HPA002848	4.88E-01	9.56E-01	0.622	0	544
171	ENSG00000151623	NR3C2	CAB009155	2.81E-01	5.98E-01	0.585	0	135
172	ENSG00000083093	PALB2	CAB014895	2.91E-01	6.06E-01	0.629	0	157
173	ENSG00000156052	GNAQ	CAB010036	4.73E-01	8.69E-01	0.398	0	534
174	ENSG00000146242	TPBG	HPA010554	3.66E-01	6.71E-01	0.644	0	342
175	ENSG00000132475	H3F3B	CAB037221	4.22E-01	7.47E-01	0.556	0	463
176	ENSG00000177414	UBE2U	HPA021660	3.49E-01	6.53E-01	0.515	0	306
177	ENSG00000160867	FGFR4	HPA027369	4.92E-01	9.92E-01	0.541	0	551
178	ENSG00000036054	TBC1D23	HPA038151	3.36E-01	6.40E-01	0.55	0	282
179	ENSG00000213341	CHUK	CAB004240	3.18E-01	6.20E-01	0.594	0	235
180	ENSG00000091732	ZC3HC1	HPA024023	3.49E-01	6.47E-01	0.553	0	307
181	ENSG00000108443	RPS6KB1	CAB018346	4.96E-01	9.76E-01	0.586	0	556
182	ENSG00000151079	KCNA6	CAB011539	4.59E-01	8.03E-01	0.523	0	513
183	ENSG00000117362	APH1A	CAB037272	3.01E-01	5.99E-01	0.73	0	185
184	ENSG00000115425	PECR	HPA021593	5.05E-01	9.80E-01	0.639	0	562
185	ENSG00000100065	CARD10	HPA029359	2.79E-01	5.75E-01	0.545	0	130
186	ENSG00000100030	MAPK1	HPA005700	4.84E-01	8.43E-01	0.54	0	541
187	ENSG00000136897	MRPL50	HPA022925	4.72E-01	8.02E-01	0.484	0	529
188	ENSG00000094755	GABRP	CAB014883	3.16E-01	5.96E-01	0.526	0	226
189	ENSG00000065057	NTHL1	CAB025152	3.09E-01	5.87E-01	0.612	0	201
190	ENSG00000124226	RNF114	HPA021184	5.13E-01	9.31E-01	0.406	0	564
191	ENSG00000121749	TBC1D15	HPA015592	4.88E-01	8.27E-01	0.438	0	545
192	ENSG00000105926	MPP6	HPA020456	2.89E-01	5.68E-01	0.642	0	151
193	ENSG00000186907	RTN4RL2	CAB024870	4.09E-01	6.79E-01	0.502	0	443
194	ENSG00000179133	C10orf67	HPA038131	3.14E-01	5.86E-01	0.564	0	218
195	ENSG00000170088	TMEM192	HPA024110	3.21E-01	5.88E-01	0.532	0	241
196	ENSG00000131238	PPT1	HPA021546	3.85E-01	6.46E-01	0.61	0	388
197	ENSG00000147654	-	HPA021153	4.35E-01	7.05E-01	0.411	0	480
198	ENSG00000160345	C9orf116	HPA021439	5.19E-01	9.14E-01	0.428	0	566
199	ENSG00000135248	FAM71F1	HPA021409	3.90E-01	6.48E-01	0.496	0	403
200	ENSG00000121057	AKAP1	HPA008691	3.72E-01	6.25E-01	0.543	0	356
201	ENSG00000174021	GNG5	CAB032623	2.70E-01	5.46E-01	0.645	0	119
202	ENSG00000074696	PTPLAD1	HPA014837	3.01E-01	5.63E-01	0.562	0	186
203	ENSG00000168394	TAP1	CAB009516	4.76E-01	7.63E-01	0.573	0	536
204	ENSG00000171723	GPHN	CAB004419	4.77E-01	7.62E-01	0.507	0	537
205	ENSG00000144746	ARL6IP5	CAB019321	3.73E-01	6.16E-01	0.581	0	360
206	ENSG00000106399	RPA3	HPA005708	3.81E-01	6.22E-01	0.619	0	377
207	ENSG00000126775	ATG14	CAB037242	3.05E-01	5.58E-01	0.479	0	192
208	ENSG00000123131	PRDX4	CAB027389	5.20E-01	8.65E-01	0.351	0	568
209	ENSG00000150471	LPHN3	HPA015027	4.43E-01	6.96E-01	0.43	0	491
210	ENSG00000124140	SLC12A5	HPA004942	2.79E-01	5.40E-01	0.576	0	131
211	ENSG00000169592	INO80E	HPA043146	3.94E-01	6.29E-01	0.541	0	412
212	ENSG00000164645	C7orf62	HPA024163	3.12E-01	5.58E-01	0.694	0	206
213	ENSG00000110321	EIF4G2	HPA006773	3.90E-01	6.26E-01	0.523	0	404
214	ENSG00000164104	HMGB2	HPA003506	3.27E-01	5.69E-01	0.557	0	248
215	ENSG00000112367	FIG4	CAB017823	4.12E-01	6.46E-01	0.506	0	447
216	ENSG00000122335	SERAC1	HPA025716	1.33E-01	4.71E-01	0.832	0	4
217	ENSG00000118873	RAB3GAP2	HPA027299	4.46E-01	6.83E-01	0.632	0	494
218	ENSG00000128656	CHN1	HPA036111	4.12E-01	6.40E-01	0.502	0	448
219	ENSG00000099785	2-Mar	HPA014063	5.55E-01	9.88E-01	0.467	0	583
220	ENSG00000186010	NDUFA13	HPA041213	2.47E-01	5.02E-01	0.537	0	74
221	ENSG00000123080	CDKN2C	HPA019057	2.88E-01	5.25E-01	0.616	0	150
222	ENSG00000106683	LIMK1	HPA028516	2.53E-01	5.00E-01	0.715	0	91
223	ENSG00000166226	CCT2	CAB009850	5.31E-01	8.20E-01	0.586	0	574
224	ENSG00000047932	GOPC	HPA019477	5.47E-01	8.63E-01	0.537	0	579
225	ENSG00000250091	DNAH10OS	HPA039786	3.87E-01	5.90E-01	0.627	0	395
226	ENSG00000213281	NRAS	CAB010157	4.58E-01	6.69E-01	0.562	0	511
227	ENSG00000148488	ST8SIA6	HPA011635	4.89E-01	7.15E-01	0.495	0	546
228	ENSG00000137124	ALDH1B1	HPA021037	4.56E-01	6.63E-01	0.379	0	507
229	ENSG00000198673	FAM19A2	CAB025543	5.64E-01	9.39E-01	0.596	0	587
230	ENSG00000235109	ZNF323	HPA007124	3.90E-01	5.87E-01	0.55	0	402
231	ENSG00000106636	YKT6	HPA030817	3.55E-01	5.52E-01	0.621	0	321
232	ENSG00000004975	DVL2	HPA022914	3.78E-01	5.71E-01	0.599	0	370
233	ENSG00000156735	BAG4	CAB013716	5.71E-01	9.80E-01	0.317	0	590
234	ENSG00000137275	RIPK1	CAB010302	5.36E-01	8.00E-01	0.342	0	577
235	ENSG00000112249	ASCC3	HPA031610	2.41E-01	4.77E-01	0.664	0	69
236	ENSG00000136689	-	CAB009633	2.52E-01	4.82E-01	0.565	0	86
237	ENSG00000169991	IFFO2	HPA015987	3.74E-01	5.62E-01	0.46	0	365
238	ENSG00000115685	PPP1R7	HPA034501	5.14E-01	7.40E-01	0.482	0	565
239	ENSG00000121879	PIK3CA	CAB017804	2.99E-01	5.04E-01	0.6	0	180
240	ENSG00000185825	BCAP31	CAB015350	3.19E-01	5.13E-01	0.576	0	237
241	ENSG00000091542	ALKBH5	HPA007196	4.14E-01	5.89E-01	0.47	0	451
242	ENSG00000136371	MTHFS	HPA008067	2.66E-01	4.81E-01	0.506	0	113
243	ENSG00000171855	IFNB1	CAB009386	5.60E-01	8.38E-01	0.455	0	586
244	ENSG00000134900	TPP2	HPA021069	1.92E-01	4.47E-01	0.651	0	25
245	ENSG00000158816	VWA5B1	HPA028405	4.55E-01	6.29E-01	0.45	0	505
246	ENSG00000178187	ZNF454	HPA024556	4.45E-01	6.16E-01	0.492	0	493
247	ENSG00000125246	CLYBL	HPA039959	5.88E-01	9.80E-01	0.51	0	592
248	ENSG00000118507	AKAP7	HPA027172	4.72E-01	6.47E-01	0.498	0	530
249	ENSG00000069956	MAPK6	CAB005184	3.87E-01	5.54E-01	0.465	0	394
250	ENSG00000138796	HADH	HPA039588	3.72E-01	5.38E-01	0.644	0	355
251	ENSG00000114859	CLCN2	CAB009397	3.05E-01	4.91E-01	0.481	0	193
252	ENSG00000143458	GABPB2	HPA028471	3.71E-01	5.36E-01	0.541	0	353
253	ENSG00000118705	RPN2	CAB019277	4.91E-01	6.65E-01	0.461	0	549
254	ENSG00000011677	GABRA3	HPA000839	2.72E-01	4.69E-01	0.574	0	122
255	ENSG00000115425	PECR	HPA022539	2.58E-01	4.59E-01	0.543	0	100
256	ENSG00000168148	HIST3H3	CAB001386	4.17E-01	5.69E-01	0.442	0	456
257	ENSG00000173889	PHC3	HPA039162	1.98E-01	4.34E-01	0.706	0	30
258	ENSG00000197705	KLHL14	HPA024777	5.23E-01	7.04E-01	0.482	0	570
259	ENSG00000005471	ABCB4	CAB004498	1.72E-01	4.17E-01	0.848	0	16
260	ENSG00000155980	KIF5A	HPA004469	2.91E-01	4.66E-01	0.67	0	158
261	ENSG00000112936	C7	HPA001465	2.46E-01	4.37E-01	0.599	0	73
262	ENSG00000188886	ASTL	HPA015620	6.06E-01	8.98E-01	0.498	0	594
263	ENSG00000100577	GSTZ1	HPA004701	1.22E-01	3.98E-01	0.823	0	2
264	ENSG00000137807	KIF23	CAB010414	2.72E-01	4.48E-01	0.602	0	121
265	ENSG00000164051	CCDC51	HPA010980	3.67E-01	5.06E-01	0.45	0	344
266	ENSG00000116786	PLEKHM2	HPA032304	6.16E-01	9.84E-01	0.503	0	597
267	ENSG00000224975	INE1	HPA003212	4.34E-01	5.62E-01	0.581	0	479
268	ENSG00000007376	RPUSD1	HPA041144	2.47E-01	4.35E-01	0.73	0	75
269	ENSG00000198093	ZNF649	HPA026541	4.74E-01	6.05E-01	0.363	0	535
270	ENSG00000114126	TFDP2	CAB018396	3.60E-01	4.99E-01	0.573	0	331
271	ENSG00000128050	PAICS	HPA035895	4.23E-01	5.46E-01	0.557	0	465
272	ENSG00000006625	GGCT	HPA020735	3.32E-01	4.75E-01	0.594	0	265
273	ENSG00000138777	PPA2	HPA031671	5.34E-01	6.79E-01	0.434	0	576
274	ENSG00000161649	CD300LG	HPA004131	3.84E-01	5.07E-01	0.594	0	385
275	ENSG00000087301	TXNDC16	HPA002543	3.32E-01	4.70E-01	0.677	0	266
276	ENSG00000165966	PDZRN4	HPA039510	4.04E-01	5.22E-01	0.588	0	435
277	ENSG00000154134	ROBO3	HPA011310	6.21E-01	9.10E-01	0.355	0	599
278	ENSG00000133818	RRAS2	CAB010420	3.90E-01	5.09E-01	0.451	0	401
279	ENSG00000132881	RSG1	HPA028453	4.99E-01	6.20E-01	0.526	0	558
280	ENSG00000169515	CCDC8	HPA041993	4.00E-01	5.16E-01	0.504	0	430
281	ENSG00000135914	HTR2B	CAB011448	4.61E-01	5.73E-01	0.517	1	515
282	ENSG00000142168	SOD1	CAB008670	2.55E-01	4.22E-01	0.733	0	94
283	ENSG00000146067	FAM193B	HPA035848	3.93E-01	4.99E-01	0.478	0	407
284	ENSG00000107968	MAP3K8	CAB005120	3.49E-01	4.63E-01	0.614	0	308
285	ENSG00000111696	NT5DC3	HPA041634	2.89E-01	4.23E-01	0.679	0	152
286	ENSG00000112699	GMDS	HPA031528	1.96E-01	3.85E-01	0.699	0	29
287	ENSG00000163825	RTP3	HPA013842	5.49E-01	6.57E-01	0.55	0	580
288	ENSG00000155893	ACPL2	HPA017243	2.79E-01	4.13E-01	0.468	0	132
289	ENSG00000141068	KSR1	CAB009623	6.15E-01	7.90E-01	0.375	0	596
290	ENSG00000123143	PKN1	CAB010278	2.30E-01	3.89E-01	0.934	0	61
291	ENSG00000179988	PSTK	HPA037781	4.83E-01	5.60E-01	0.493	0	540
292	ENSG00000131351	HAUS8	HPA039406	3.84E-01	4.70E-01	0.519	0	382
293	ENSG00000101473	ACOT8	CAB010261	3.81E-01	4.68E-01	0.518	0	376
294	ENSG00000112210	RAB23	HPA029135	3.78E-01	4.66E-01	0.577	0	371
295	ENSG00000197969	VPS13A	HPA021652	3.34E-01	4.37E-01	0.486	0	275
296	ENSG00000171530	TBCA	HPA036487	2.97E-01	4.16E-01	0.696	0	173
297	ENSG00000214253	FIS1	HPA017430	3.69E-01	4.59E-01	0.592	0	350
298	ENSG00000144935	TRPC1	CAB009387	2.99E-01	4.16E-01	0.784	0	182
299	ENSG00000170037	CNTROB	HPA023325	4.62E-01	5.35E-01	0.493	0	516
300	ENSG00000117118	SDHB	HPA002868	4.16E-01	4.90E-01	0.524	0	454
301	ENSG00000102316	MAGED2	HPA031572	4.51E-01	5.19E-01	0.62	0	501
302	ENSG00000196666	FAM180B	HPA029408	2.52E-01	3.91E-01	0.665	0	88
303	ENSG00000188732	C7orf46	HPA026748	6.50E-01	8.89E-01	0.403	0	606
304	ENSG00000185149	NPY2R	HPA013965	3.31E-01	4.29E-01	0.662	0	263
305	ENSG00000113319	RASGRF2	HPA018679	4.10E-01	4.76E-01	0.472	0	444
306	ENSG00000104695	PPP2CB	CAB018600	4.96E-01	5.57E-01	0.495	0	557
307	ENSG00000029363	-	HPA027770	4.29E-01	4.89E-01	0.484	0	473
308	ENSG00000118849	RARRES1	HPA003892	3.10E-01	4.09E-01	0.803	0	202
309	ENSG00000157827	FMNL2	HPA005464	3.99E-01	4.62E-01	0.641	0	428
