Loc/Exp Rank	Ensembl	Gene Name	HPA Ab	Loc pvalue	Int pvalue.	Accuracy	Validation Marker	Loc rank
64	ENSG00000138347	MYPN	HPA036298	3.22E-01	9.19E-01	0.528	0	211
65	ENSG00000119383	PPP2R4	CAB035999	3.31E-01	9.68E-01	0.548	0	227
66	ENSG00000006453	AC093799.1	HPA029503	3.12E-01	8.85E-01	0.638	0	184
67	ENSG00000114127	XRN1	HPA035005	2.71E-01	8.06E-01	0.675	0	93
68	ENSG00000078902	TOLLIP	HPA038622	3.30E-01	9.51E-01	0.669	0	222
69	ENSG00000165699	TSC1	CAB012481	3.24E-01	9.14E-01	0.662	0	215
70	ENSG00000132970	WASF3	CAB037086	3.36E-01	9.88E-01	0.663	0	241
71	ENSG00000100442	FKBP3	CAB012520	3.01E-01	8.48E-01	0.477	0	159
72	ENSG00000163235	TGFA	HPA042297	2.94E-01	8.29E-01	0.768	0	141
73	ENSG00000103599	IQCH	HPA040845	3.34E-01	9.39E-01	0.634	0	234
74	ENSG00000066455	GOLGA5	HPA000992	3.32E-01	9.24E-01	0.558	0	229
75	ENSG00000198589	LRBA	HPA019366	3.40E-01	9.80E-01	0.507	0	251
76	ENSG00000165661	QSOX2	HPA012716	2.92E-01	8.20E-01	0.615	0	134
77	ENSG00000165752	STK32C	HPA017894	3.42E-01	9.68E-01	0.515	0	255
78	ENSG00000101384	JAG1	HPA021555	3.39E-01	9.41E-01	0.504	0	250
79	ENSG00000143578	CREB3L4	HPA038122	3.38E-01	9.33E-01	0.519	0	246
80	ENSG00000036054	TBC1D23	HPA038152	3.14E-01	8.52E-01	0.526	0	191
81	ENSG00000141385	AFG3L2	HPA004479	3.05E-01	8.31E-01	0.668	0	169
82	ENSG00000108443	RPS6KB1	CAB018346	2.18E-01	7.27E-01	0.682	0	28
83	ENSG00000108774	RAB5C	HPA003426	3.18E-01	8.52E-01	0.609	0	197
84	ENSG00000100401	RANGAP1	CAB004293	3.41E-01	9.08E-01	0.647	0	252
85	ENSG00000101577	LPIN2	CAB015223	3.10E-01	8.30E-01	0.663	0	177
86	ENSG00000099331	MYO9B	HPA042043	3.15E-01	8.38E-01	0.66	0	194
87	ENSG00000160688	FLAD1	HPA028486	3.51E-01	9.43E-01	0.494	0	288
88	ENSG00000115604	IL18R1	HPA007615	3.53E-01	9.60E-01	0.651	0	296
89	ENSG00000102384	CENPI	CAB012356	3.37E-01	8.85E-01	0.386	0	244
90	ENSG00000077147	TM9SF3	HPA039609	3.53E-01	9.47E-01	0.603	0	292
91	ENSG00000131351	HAUS8	HPA039406	2.98E-01	8.05E-01	0.565	0	152
92	ENSG00000125492	BARHL1	HPA004809	3.50E-01	9.31E-01	0.417	0	284
93	ENSG00000106392	C1GALT1	HPA011294	3.50E-01	9.31E-01	0.674	0	285
94	ENSG00000110321	EIF4G2	HPA006773	2.87E-01	7.88E-01	0.63	0	126
95	ENSG00000119906	FAM178A	HPA038499	3.21E-01	8.40E-01	0.625	0	204
96	ENSG00000144224	UBXN4	HPA036325	3.30E-01	8.60E-01	0.532	0	224
97	ENSG00000130340	SNX9	HPA031410	3.23E-01	8.44E-01	0.684	0	213
98	ENSG00000135679	MDM2	CAB000086	3.01E-01	8.03E-01	0.685	0	160
99	ENSG00000156110	ADK	HPA038409	3.60E-01	9.68E-01	0.505	0	309
100	ENSG00000138593	SECISBP2L	HPA039875	3.25E-01	8.39E-01	0.694	0	216
101	ENSG00000115274	INO80B	HPA042717	3.47E-01	8.94E-01	0.57	0	273
102	ENSG00000205250	E2F4	CAB016523	3.50E-01	8.99E-01	0.642	0	282
103	ENSG00000135093	USP30	HPA016952	2.49E-01	7.33E-01	0.735	0	55
104	ENSG00000165832	TRUB1	HPA037914	3.44E-01	8.77E-01	0.643	0	263
105	ENSG00000158604	TMED4	HPA014650	3.58E-01	9.18E-01	0.621	0	303
106	ENSG00000144566	RAB5A	CAB004567	3.67E-01	9.79E-01	0.678	0	331
107	ENSG00000197857	ZNF44	HPA003146	3.57E-01	9.09E-01	0.506	0	301
108	ENSG00000141040	ZNF287	HPA029290	3.68E-01	9.94E-01	0.577	0	336
109	ENSG00000124440	HIF3A	HPA041141	3.59E-01	9.14E-01	0.439	0	308
110	ENSG00000135525	MAP7	HPA029713	3.01E-01	7.86E-01	0.769	0	161
111	ENSG00000250091	DNAH10OS	HPA039786	1.38E-01	6.55E-01	0.712	0	3
112	ENSG00000164122	ASB5	HPA028870	3.43E-01	8.56E-01	0.616	0	260
113	ENSG00000186660	ZFP91	CAB025417	2.86E-01	7.60E-01	0.722	0	122
114	ENSG00000121101	TEX14	HPA030620	3.71E-01	9.45E-01	0.691	0	340
115	ENSG00000184708	EIF4ENIF1	HPA001619	3.76E-01	9.97E-01	0.625	0	358
116	ENSG00000179133	C10orf67	HPA038131	3.36E-01	8.31E-01	0.7	0	240
117	ENSG00000169032	MAP2K1	CAB003834	3.35E-01	8.29E-01	0.591	0	237
118	ENSG00000129562	DAD1	HPA028882	3.76E-01	9.97E-01	0.393	0	360
119	ENSG00000100284	TOM1	HPA001749	3.68E-01	9.20E-01	0.522	0	337
120	ENSG00000135097	MSI1	CAB022337	2.22E-01	6.94E-01	0.886	0	31
121	ENSG00000171121	KCNMB3	HPA015665	3.58E-01	8.77E-01	0.68	0	304
122	ENSG00000115561	VPS24	HPA015673	3.15E-01	7.89E-01	0.693	0	193
123	ENSG00000077063	CTTNBP2	CAB009151	2.62E-01	7.24E-01	0.558	0	76
124	ENSG00000084110	HAL	HPA038547	3.80E-01	9.84E-01	0.58	0	362
125	ENSG00000161326	DUSP14	HPA019911	3.32E-01	8.11E-01	0.604	0	230
126	ENSG00000158715	SLC45A3	HPA019075	3.83E-01	9.88E-01	0.522	0	374
127	ENSG00000117592	PRDX6	HPA006983	3.60E-01	8.67E-01	0.632	0	312
128	ENSG00000168522	FNTA	HPA018830	3.62E-01	8.72E-01	0.535	0	320
129	ENSG00000118200	CAMSAP1L1	HPA027302	3.83E-01	9.64E-01	0.513	0	371
130	ENSG00000172936	MYD88	CAB009104	3.84E-01	9.60E-01	0.783	0	378
131	ENSG00000115368	WDR75	HPA038199	3.57E-01	8.52E-01	0.555	0	302
132	ENSG00000167182	SP2	CAB010245	3.66E-01	8.77E-01	0.539	0	330
133	ENSG00000001461	NIPAL3	HPA039978	3.75E-01	9.06E-01	0.744	0	355
134	ENSG00000141429	GALNT1	HPA012628	3.47E-01	8.28E-01	0.698	1	271
135	ENSG00000117724	CENPF	CAB009581	3.66E-01	8.69E-01	0.61	0	329
136	ENSG00000120458	C11orf61	HPA038695	3.81E-01	9.18E-01	0.602	0	363
137	ENSG00000158023	WDR66	HPA039902	3.89E-01	9.80E-01	0.644	0	394
138	ENSG00000125844	RRBP1	HPA009026	3.89E-01	9.80E-01	0.559	0	396
139	ENSG00000020922	MRE11A	HPA002691	3.63E-01	8.58E-01	0.555	0	322
140	ENSG00000144136	SLC20A1	CAB019279	3.22E-01	7.78E-01	0.661	0	208
141	ENSG00000168517	HEXIM2	HPA028455	3.81E-01	9.10E-01	0.557	0	364
142	ENSG00000147044	CASK	CAB001949	3.91E-01	9.76E-01	0.611	0	400
143	ENSG00000198804	MT-CO1	CAB016241	3.34E-01	7.94E-01	0.482	0	233
144	ENSG00000136143	SUCLA2	HPA039435	3.84E-01	9.12E-01	0.53	0	380
145	ENSG00000172867	KRT2	HPA006299	3.83E-01	9.06E-01	0.609	0	373
146	ENSG00000000003	TSPAN6	HPA004109	3.83E-01	9.06E-01	0.554	0	375
147	ENSG00000089154	GCN1L1	HPA018799	2.96E-01	7.39E-01	0.599	0	145
148	ENSG00000063244	U2AF2	CAB010910	3.73E-01	8.68E-01	0.528	0	347
149	ENSG00000100348	TXN2	HPA000994	3.95E-01	9.65E-01	0.423	0	414
150	ENSG00000144746	ARL6IP5	HPA015540	3.43E-01	8.01E-01	0.524	0	259
151	ENSG00000165475	CRYL1	HPA040403	3.62E-01	8.35E-01	0.668	0	316
152	ENSG00000134056	MRPS36	HPA035802	3.87E-01	9.09E-01	0.554	0	388
153	ENSG00000132589	FLOT2	HPA001396	2.53E-01	6.93E-01	0.582	0	67
154	ENSG00000163932	PRKCD	HPA001863	2.98E-01	7.36E-01	0.632	0	149
155	ENSG00000162385	MAGOH	CAB015425	3.97E-01	9.76E-01	0.549	0	421
156	ENSG00000160633	SAFB	CAB001969	3.65E-01	8.40E-01	0.525	0	326
157	ENSG00000164300	SERINC5	HPA037898	4.00E-01	9.77E-01	0.619	0	425
158	ENSG00000113013	HSPA9	HPA000898	3.83E-01	8.78E-01	0.506	0	376
159	ENSG00000117308	GALE	HPA007340	4.04E-01	9.88E-01	0.548	0	441
160	ENSG00000104852	SNRNP70	CAB001718	4.03E-01	9.76E-01	0.724	0	440
161	ENSG00000048544	MRPS10	HPA029134	3.87E-01	8.84E-01	0.498	0	390
162	ENSG00000070831	CDC42	CAB004360	4.03E-01	9.55E-01	0.564	0	439
163	ENSG00000124788	ATXN1	HPA008335	3.47E-01	7.90E-01	0.631	0	272
164	ENSG00000134851	TMEM165	HPA038299	3.48E-01	7.90E-01	0.769	0	275
165	ENSG00000132475	H3F3B	CAB037221	4.02E-01	9.36E-01	0.478	0	433
166	ENSG00000132275	RRP8	HPA038487	3.98E-01	9.10E-01	0.723	0	422
167	ENSG00000144681	STAC	HPA035143	4.03E-01	9.31E-01	0.493	0	435
168	ENSG00000167642	SPINT2	HPA011101	4.07E-01	9.55E-01	0.54	0	449
169	ENSG00000184634	MED12	HPA003184	2.83E-01	7.04E-01	0.725	0	115
170	ENSG00000142102	ATHL1	HPA039383	3.23E-01	7.47E-01	0.602	0	212
171	ENSG00000182511	FES	HPA001376	4.10E-01	9.88E-01	0.581	0	458
172	ENSG00000075131	TIPIN	HPA039704	3.03E-01	7.21E-01	0.684	0	166
173	ENSG00000124151	NCOA3	CAB009800	3.73E-01	8.24E-01	0.554	0	344
174	ENSG00000011052	NME2	CAB002169	4.09E-01	9.44E-01	0.457	0	454
175	ENSG00000145982	FARS2	HPA028836	2.80E-01	6.97E-01	0.681	0	108
176	ENSG00000187837	HIST1H1C	CAB011507	4.14E-01	9.92E-01	0.622	0	465
177	ENSG00000204889	KRT40	HPA030068	3.96E-01	8.79E-01	0.537	0	417
178	ENSG00000163347	CLDN1	CAB002602	3.81E-01	8.39E-01	0.617	0	365
179	ENSG00000168394	TAP1	CAB009516	2.76E-01	6.91E-01	0.644	0	101
180	ENSG00000189283	FHIT	HPA018909	3.39E-01	7.61E-01	0.594	0	249
181	ENSG00000111726	CMAS	HPA039905	4.11E-01	9.39E-01	0.489	0	460
182	ENSG00000100600	LGMN	HPA001426	4.01E-01	8.91E-01	0.635	0	427
183	ENSG00000135052	GOLM1	CAB015341	4.17E-01	9.70E-01	0.512	0	471
184	ENSG00000160223	ICOSLG	CAB026037	3.90E-01	8.50E-01	0.676	0	398
185	ENSG00000167978	SRRM2	HPA041411	4.11E-01	9.22E-01	0.4	0	461
186	ENSG00000141012	GALNS	CAB026404	3.73E-01	8.11E-01	0.583	0	348
187	ENSG00000132323	ILKAP	HPA004752	4.09E-01	9.10E-01	0.713	0	455
188	ENSG00000198431	TXNRD1	CAB004607	3.91E-01	8.51E-01	0.517	0	403
189	ENSG00000109270	LAMTOR3	HPA026858	3.92E-01	8.48E-01	0.627	0	404
190	ENSG00000101152	DNAJC5	HPA013154	4.20E-01	9.83E-01	0.56	0	484
191	ENSG00000251247	ZNF345	HPA025816	3.35E-01	7.46E-01	0.502	0	238
192	ENSG00000147475	ERLIN2	HPA002025	4.21E-01	9.92E-01	0.585	0	486
193	ENSG00000104164	PLDN	HPA039928	2.51E-01	6.61E-01	0.749	0	64
194	ENSG00000010244	ZNF207	HPA017013	3.73E-01	8.03E-01	0.564	0	349
195	ENSG00000041802	LSG1	HPA037704	4.18E-01	9.35E-01	0.544	0	474
196	ENSG00000100583	SAMD15	HPA030677	4.05E-01	8.76E-01	0.49	0	446
197	ENSG00000073584	SMARCE1	HPA003916	4.13E-01	8.98E-01	0.567	0	463
198	ENSG00000127399	LRRC61	HPA019355	3.81E-01	8.11E-01	0.527	0	368
199	ENSG00000188739	RBM34	HPA028606	4.00E-01	8.52E-01	0.597	0	426
200	ENSG00000175866	BAIAP2	HPA027421	4.23E-01	9.45E-01	0.446	0	492
201	ENSG00000137409	MTCH1	HPA015971	2.88E-01	6.85E-01	0.706	0	128
202	ENSG00000065054	SLC9A3R2	HPA001672	4.04E-01	8.60E-01	0.699	0	443
203	ENSG00000173366	RP11-330H6.5	HPA004731	4.29E-01	9.88E-01	0.426	0	506
204	ENSG00000148488	ST8SIA6	HPA011635	4.18E-01	9.02E-01	0.598	0	472
205	ENSG00000133835	HSD17B4	HPA021311	3.10E-01	7.02E-01	0.556	0	179
206	ENSG00000120509	PDZD11	HPA003972	3.74E-01	7.87E-01	0.53	0	352
207	ENSG00000198178	CLEC4C	HPA029432	4.15E-01	8.81E-01	0.656	0	469
208	ENSG00000065485	PDIA5	HPA030356	4.29E-01	9.44E-01	0.56	0	505
209	ENSG00000186591	UBE2H	HPA003302	4.30E-01	9.50E-01	0.567	0	509
210	ENSG00000170927	PKHD1	HPA031227	4.00E-01	8.33E-01	0.514	0	424
211	ENSG00000243649	CFB	HPA001817	4.01E-01	8.36E-01	0.647	0	431
212	ENSG00000095139	ARCN1	HPA037573	2.63E-01	6.55E-01	0.545	0	80
213	ENSG00000006125	AP2B1	CAB017631	4.15E-01	8.72E-01	0.588	0	468
214	ENSG00000143384	MCL1	HPA031125	4.33E-01	9.62E-01	0.62	0	513
215	ENSG00000060339	CCAR1	HPA007856	4.27E-01	9.12E-01	0.514	0	498
216	ENSG00000171302	CANT1	HPA019627	3.75E-01	7.73E-01	0.599	0	354
217	ENSG00000165637	VDAC2	HPA043475	2.83E-01	6.65E-01	0.692	0	113
218	ENSG00000183098	GPC6	HPA017671	3.69E-01	7.63E-01	0.736	0	339
219	ENSG00000002746	HECW1	HPA007609	3.60E-01	7.48E-01	0.458	0	313
220	ENSG00000136068	FLNB	CAB019322	3.75E-01	7.69E-01	0.564	0	353
221	ENSG00000161905	ALOX15	HPA013859	4.26E-01	8.89E-01	0.454	0	497
222	ENSG00000166226	CCT2	CAB009850	4.20E-01	8.64E-01	0.598	0	482
223	ENSG00000107105	ELAVL2	CAB022222	4.41E-01	9.68E-01	0.525	0	524
224	ENSG00000157103	SLC6A1	HPA013341	4.20E-01	8.60E-01	0.501	0	485
225	ENSG00000114859	CLCN2	CAB009397	2.51E-01	6.33E-01	0.832	0	63
226	ENSG00000127554	GFER	HPA041227	3.91E-01	7.86E-01	0.53	0	399
227	ENSG00000156282	CLDN17	CAB034279	3.86E-01	7.78E-01	0.642	0	386
228	ENSG00000148158	SNX30	HPA019346	4.31E-01	8.85E-01	0.518	0	511
229	ENSG00000117480	FAAH	HPA007425	4.41E-01	9.31E-01	0.528	0	522
230	ENSG00000108405	P2RX1	CAB006813	4.27E-01	8.71E-01	0.655	0	500
231	ENSG00000173546	CSPG4	HPA002951	3.49E-01	7.22E-01	0.47	0	279
232	ENSG00000104290	FZD3	CAB024995	4.44E-01	9.31E-01	0.814	0	529
233	ENSG00000036448	MYOM2	HPA005953	4.16E-01	8.30E-01	0.673	0	470
234	ENSG00000165410	CFL2	CAB037078	4.49E-01	9.78E-01	0.521	0	536
235	ENSG00000163026	C2orf44	HPA041054	4.49E-01	9.68E-01	0.604	0	535
236	ENSG00000095380	NANS	HPA019223	4.10E-01	8.15E-01	0.553	0	457
237	ENSG00000178662	CSRNP3	HPA017905	3.96E-01	7.86E-01	0.664	0	419
238	ENSG00000105379	ETFB	HPA018910	4.45E-01	9.26E-01	0.598	0	530
239	ENSG00000104419	NDRG1	HPA006881	4.19E-01	8.30E-01	0.576	0	479
240	ENSG00000152229	PSTPIP2	HPA040923	4.34E-01	8.69E-01	0.464	0	515
241	ENSG00000168237	GLYCTK	HPA006913	4.21E-01	8.31E-01	0.581	0	488
242	ENSG00000138835	RGS3	CAB032507	1.90E-01	5.86E-01	0.834	0	14
243	ENSG00000177679	SRRM3	HPA019337	4.52E-01	9.43E-01	0.524	0	544
244	ENSG00000157764	BRAF	CAB004552	4.28E-01	8.42E-01	0.486	0	504
245	ENSG00000107897	ACBD5	HPA012145	4.29E-01	8.44E-01	0.527	0	507
246	ENSG00000131771	PPP1R1B	CAB004026	4.53E-01	9.38E-01	0.54	0	546
247	ENSG00000152291	TGOLN2	HPA012723	4.33E-01	8.52E-01	0.815	0	514
248	ENSG00000008952	SEC62	HPA014059	4.02E-01	7.80E-01	0.591	0	432
249	ENSG00000136878	USP20	HPA006287	4.31E-01	8.44E-01	0.556	1	510
250	ENSG00000177731	FLII	CAB016132	3.96E-01	7.69E-01	0.694	0	418
251	ENSG00000164129	NPY5R	HPA013790	2.78E-01	6.35E-01	0.75	1	103
252	ENSG00000124570	SERPINB6	HPA009668	4.60E-01	9.84E-01	0.432	0	558
253	ENSG00000074319	TSG101	HPA006161	4.52E-01	9.06E-01	0.424	0	541
254	ENSG00000110955	ATP5B	HPA001528	4.62E-01	9.76E-01	0.294	0	562
255	ENSG00000119321	FKBP15	HPA007979	4.53E-01	9.06E-01	0.472	0	547
256	ENSG00000139405	C12orf52	HPA039094	4.47E-01	8.77E-01	0.582	0	531
257	ENSG00000106346	USP42	HPA006752	4.66E-01	9.90E-01	0.408	0	568
258	ENSG00000166788	SAAL1	HPA039004	3.47E-01	6.87E-01	0.521	0	270
259	ENSG00000140374	ETFA	HPA018990	4.67E-01	9.88E-01	0.364	0	571
260	ENSG00000090581	GNPTG	HPA004055	3.87E-01	7.36E-01	0.47	0	387
261	ENSG00000182827	ACBD3	HPA015594	3.72E-01	7.11E-01	0.425	0	342
262	ENSG00000136574	GATA4	CAB013125	4.70E-01	9.51E-01	0.451	0	575
263	ENSG00000170027	YWHAG	CAB013274	4.69E-01	9.47E-01	0.502	0	573
264	ENSG00000154957	ZNF18	HPA006144	4.52E-01	8.63E-01	0.569	0	543
265	ENSG00000140497	SCAMP2	HPA014699	2.65E-01	6.08E-01	0.581	0	84
266	ENSG00000030582	GRN	HPA028747	3.32E-01	6.62E-01	0.681	0	231
267	ENSG00000140265	ZSCAN29	HPA007241	4.71E-01	9.39E-01	0.634	0	578
268	ENSG00000067369	TP53BP1	CAB004083	2.98E-01	6.29E-01	0.533	0	150
269	ENSG00000198824	ZNF828	HPA006623	4.72E-01	9.31E-01	0.537	0	580
270	ENSG00000087470	DNM1L	CAB009952	4.76E-01	9.64E-01	0.492	0	586
271	ENSG00000078902	TOLLIP	HPA038621	4.78E-01	9.81E-01	0.402	1	589
272	ENSG00000197081	IGF2R	HPA011332	4.48E-01	8.29E-01	0.474	0	534
273	ENSG00000139613	SMARCC2	CAB004321	3.49E-01	6.70E-01	0.538	0	278
274	ENSG00000108465	CDK5RAP3	HPA027883	4.50E-01	8.32E-01	0.418	0	540
275	ENSG00000180855	ZNF443	HPA003150	3.72E-01	6.90E-01	0.575	0	341
276	ENSG00000142330	CAPN10	HPA004170	3.42E-01	6.56E-01	0.648	0	254
277	ENSG00000121022	COPS5	CAB004242	4.61E-01	8.50E-01	0.383	0	560
278	ENSG00000079785	DDX1	HPA034502	4.78E-01	9.10E-01	0.497	0	588
279	ENSG00000122971	ACADS	CAB019284	3.52E-01	6.64E-01	0.679	0	289
280	ENSG00000168763	CNNM3	HPA016711	2.24E-01	5.68E-01	0.536	0	32
281	ENSG00000125780	TGM3	HPA004728	4.32E-01	7.74E-01	0.563	0	512
282	ENSG00000134982	APC	HPA013349	2.78E-01	5.98E-01	0.585	0	104
283	ENSG00000128609	NDUFA5	HPA043175	4.43E-01	7.93E-01	0.626	0	528
284	ENSG00000131462	TUBG1	CAB004608	4.67E-01	8.52E-01	0.641	0	570
285	ENSG00000067369	TP53BP1	HPA022133	3.05E-01	6.16E-01	0.571	0	171
286	ENSG00000101745	ANKRD12	HPA040705	4.03E-01	7.19E-01	0.683	0	437
287	ENSG00000135387	CAPRIN1	HPA018126	4.82E-01	9.06E-01	0.424	0	601
288	ENSG00000138073	PREB	HPA013582	4.89E-01	9.51E-01	0.446	0	613
289	ENSG00000123106	CCDC91	HPA038169	3.11E-01	6.19E-01	0.681	0	180
290	ENSG00000224975	INE1	HPA003212	4.91E-01	9.71E-01	0.39	0	619
291	ENSG00000061337	LZTS1	HPA006294	4.06E-01	7.23E-01	0.529	0	448
292	ENSG00000145907	G3BP1	HPA004052	2.76E-01	5.92E-01	0.594	0	100
293	ENSG00000167323	STIM1	HPA011088	4.90E-01	9.55E-01	0.459	0	616
294	ENSG00000074696	PTPLAD1	HPA014837	3.60E-01	6.64E-01	0.627	0	311
295	ENSG00000092871	RFFL	CAB008096	4.60E-01	8.24E-01	0.571	0	557
296	ENSG00000128536	CDHR3	HPA011218	4.92E-01	9.72E-01	0.503	0	621
297	ENSG00000198131	ZNF544	HPA002732	4.40E-01	7.78E-01	0.66	0	520
298	ENSG00000005893	LAMP2	HPA029100	4.08E-01	7.24E-01	0.575	0	453
299	ENSG00000204316	MRPL38	HPA023054	4.82E-01	8.94E-01	0.631	0	603
300	ENSG00000197448	GSTK1	HPA022904	2.41E-01	5.68E-01	0.725	0	46
301	ENSG00000103978	TMEM87A	HPA018104	4.55E-01	8.05E-01	0.632	0	550
302	ENSG00000141068	KSR1	CAB009623	4.92E-01	9.43E-01	0.583	0	622
303	ENSG00000134077	THUMPD3	HPA036170	3.18E-01	6.19E-01	0.578	0	199
304	ENSG00000103528	SYT17	HPA040811	3.55E-01	6.53E-01	0.534	0	299
305	ENSG00000161558	TMEM143	HPA014476	4.67E-01	8.28E-01	0.621	0	572
306	ENSG00000129657	SEC14L1	HPA028703	2.96E-01	5.99E-01	0.617	0	142
307	ENSG00000125246	CLYBL	HPA039959	3.81E-01	6.78E-01	0.492	0	366
308	ENSG00000154027	AK5	HPA019128	4.59E-01	8.03E-01	0.381	0	555
